timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1790007438173,23,HTTP Request 100kb,200,OK,Thread Group 1-7,text,true,,134302,132,10,10,http://192.168.122.168/page_100k.html,21,0,14
1790007438172,23,HTTP Request 750kb,200,OK,Thread Group 1-8,text,true,,767818,132,10,10,http://192.168.122.168/page_750k.html,21,0,14
1790007438174,22,HTTP Request 250kb,200,OK,Thread Group 1-3,text,true,,255818,132,10,10,http://192.168.122.168/page_250k.html,20,0,13
1790007438174,22,HTTP Request 100kb,200,OK,Thread Group 1-4,text,true,,134302,132,10,10,http://192.168.122.168/page_100k.html,20,0,13
1790007438173,23,HTTP Request 250kb,200,OK,Thread Group 1-1,text,true,,255818,132,10,10,http://192.168.122.168/page_250k.html,21,0,14
1790007438180,15,HTTP Request 500kb,200,OK,Thread Group 1-9,text,true,,669514,132,10,10,http://192.168.122.168/page_500k.html,13,0,6
1790007438173,23,HTTP Request 250kb,200,OK,Thread Group 1-5,text,true,,255818,132,10,10,http://192.168.122.168/page_250k.html,20,0,14
1790007438174,26,HTTP Request 2mb,200,OK,Thread Group 1-6,text,true,,2662896,130,10,10,http://192.168.122.168/page_2m.html,19,0,13
1790007438173,28,HTTP Request 2mb,200,OK,Thread Group 1-2,text,true,,2662896,130,11,11,http://192.168.122.168/page_2m.html,21,0,14
1790007438201,3,HTTP Request 1mb,200,OK,Thread Group 1-11,text,true,,1047707,130,11,11,http://192.168.122.168/page_1m.html,1,0,0
1790007438190,15,HTTP Request 5m,200,OK,Thread Group 1-10,text,true,,5240648,130,11,11,http://192.168.122.168/page_5m.html,3,0,1
1790007438211,2,HTTP Request 1mb,200,OK,Thread Group 1-12,text,true,,1047707,130,12,12,http://192.168.122.168/page_1m.html,1,0,0
1790007438220,2,HTTP Request 1mb,200,OK,Thread Group 1-13,text,true,,1047707,130,13,13,http://192.168.122.168/page_1m.html,1,0,0
1790007438241,2,HTTP Request 250kb,200,OK,Thread Group 1-15,text,true,,255818,132,15,15,http://192.168.122.168/page_250k.html,1,0,1
