procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  0      0 334668  15584 446672    0    0 62518  1008 2302   47  2 24 66  7  0  0
10  0      0 324044  15584 446748    0    0     0     0 16255 4472 4 81 15  0  0  0
 7  0      0 321252  15584 446804    0    0     0     0 16602 4692 3 84 13  0  0  0
15  0      0 320204  15584 446820    0    0     0     0 16087 4475 2 80 18  0  0  0
42  0      0 319148  15584 446900    0    0     0     0 16932 4499 3 84 13  0  0  0
13  0      0 321032  15592 446944    0    0     0    68 16416 4437 2 80 18  0  0  0
 9  0      0 318772  15592 447000    0    0     0     0 16613 4751 3 79 18  0  0  0
 6  0      0 321388  15592 447012    0    0     0     0 16269 4408 3 77 20  0  0  0
 6  0      0 317208  15592 447056    0    0     0     0 17027 4825 2 83 15  0  0  0
 0  0      0 315768  15592 447136    0    0     0     0 16761 4483 2 84 14  0  0  0
15  0      0 317408  15600 447172    0    0     0    24 16480 4433 4 78 18  0  0  0
32  0      0 316992  15600 447228    0    0     0     0 15638 4306 2 81 17  0  0  0
 0  0      0 315592  15600 447252    0    0     0     0 16152 4450 3 81 16  0  0  0
16  0      0 318280  15600 447332    0    0     0     0 16437 4605 3 78 19  0  0  0
26  0      0 320052  15600 447380    0    0     0     0 16979 4708 2 84 14  0  0  0
18  0      0 316316  15608 447420    0    0     0    16 16656 4644 3 77 20  0  0  0
 0  0      0 319448  15608 447472    0    0     0     0 16215 4431 3 78 19  0  0  0
 0  0      0 317048  15608 447524    0    0     0     0 16971 4796 2 84 14  0  0  0
 7  0      0 317336  15608 447572    0    0     0     0 17172 4796 2 84 14  0  0  0
22  0      0 319384  15608 447620    0    0     0     0 15581 4504 2 77 21  0  0  0
 1  0      0 319232  15616 447660    0    0     0    16 16375 4537 2 83 13  2  0  0
29  0      0 318072  15616 447712    0    0     0     0 17575 4582 3 85 12  0  0  0
 9  0      0 319672  15616 447768    0    0     0     0 16838 4827 3 82 15  0  0  0
 9  0      0 320056  15616 447816    0    0     0     0 16856 4632 2 84 14  0  0  0
 0  0      0 313752  15616 447864    0    0     0     0 16970 4705 2 85 13  0  0  0
12  0      0 315776  15624 447900    0    0     0    16 16115 4911 4 83 13  0  0  0
14  0      0 317516  15624 447956    0    0     0     0 16134 5612 3 74 23  0  0  0
 1  0      0 310732  15624 448004    0    0     0  5164 17694 5521 2 84 14  0  0  0
 5  0      0 306324  15624 448020    0    0     0     4 17137 5511 3 84 13  0  0  0
27  0      0 308364  15624 448096    0    0     0    48 16378 5632 4 81 15  0  0  0
15  0      0 309612  15636 448132    0    0     0    76 17196 5527 2 85 13  0  0  0
