procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
26  0      0 320656  15576 430244    0    0 54070   790 3239   48  3 30 60  7  0  0
42  0      0 308304  15576 430304    0    0     0     0 16894 6588 3 97  0  0  0  0
21  0      0 312536  15576 430348    0    0     0     0 17802 7201 4 96  0  0  0  0
53  0      0 300164  15576 430400    0    0     0     0 16792 7107 4 96  0  0  0  0
48  0      0 299768  15576 430448    0    0     0     0 17284 7806 3 97  0  0  0  0
46  0      0 297636  15584 430500    0    0     0    68 17246 8051 4 96  0  0  0  0
53  0      0 294468  15584 430556    0    0     0     0 17341 8346 4 96  0  0  0  0
54  0      0 289332  15584 430612    0    0     0     0 17131 7504 4 96  0  0  0  0
33  0      0 293332  15584 430692    0    0     0     0 17446 7670 4 96  0  0  0  0
56  0      0 295336  15584 430804    0    0     0     0 18028 7313 4 96  0  0  0  0
35  0      0 294936  15592 430876    0    0     0    24 18103 4586 4 96  0  0  0  0
49  0      0 285332  15592 430984    0    0     0     0 17613 4371 4 96  0  0  0  0
39  0      0 277204  15592 431100    0    0     0     0 18043 6059 4 96  0  0  0  0
30  0      0 279480  15592 431164    0    0     0     0 18185 4112 5 95  0  0  0  0
28  0      0 281704  15592 431216    0    0     0     0 17792 3994 3 97  0  0  0  0
38  0      0 282412  15600 431268    0    0     0    16 18590 4392 4 96  0  0  0  0
28  0      0 275372  15600 431364    0    0     0     0 18002 4376 4 96  0  0  0  0
22  0      0 268844  15600 431376    0    0     0     0 18084 4101 4 96  0  0  0  0
22  0      0 272780  15600 431428    0    0     0     0 18230 4083 4 96  0  0  0  0
42  0      0 274540  15600 431480    0    0     0     0 18021 4092 4 96  0  0  0  0
40  0      0 277548  15608 431560    0    0     0    16 18267 4099 4 96  0  0  0  0
20  0      0 272592  15608 431624    0    0     0     0 18091 3847 4 96  0  0  0  0
48  0      0 275004  15608 431676    0    0     0     0 18184 3988 4 96  0  0  0  0
36  0      0 276412  15608 431728    0    0     0     0 18682 4199 4 96  0  0  0  0
30  0      0 274620  15608 431784    0    0     0     0 18358 4137 4 96  0  0  0  0
29  0      0 272764  15616 431836    0    0     0    16 17831 4051 4 96  0  0  0  0
28  0      0 276220  15616 431892    0    0     0   216 18107 4246 4 96  0  0  0  0
22  0      0 261320  15616 431948    0    0     0  4120 18014 4669 3 97  0  0  0  0
42  0      0 264532  15616 431988    0    0     0    44 18184 4205 5 95  0  0  0  0
37  0      0 261564  15616 432044    0    0     0     4 18096 4193 4 96  0  0  0  0
43  0      0 259996  15628 432100    0    0     0    72 18038 3896 3 97  0  0  0  0
31  0      0 260988  15628 432148    0    0     0     4 17908 4014 4 96  0  0  0  0
27  0      0 265432  15628 432204    0    0     0     0 18559 4430 3 97  0  0  0  0
33  0      0 264376  15628 432256    0    0     0  1692 18256 4246 4 96  0  0  0  0
13  0      0 261432  15628 432312    0    0     0     0 18175 4106 4 96  0  0  0  0
16  0      0 265252  15636 432372    0    0     0    36 18283 4286 4 96  0  0  0  0
27  0      0 261756  15636 432424    0    0     0     0 18381 4137 4 96  0  0  0  0
17  0      0 254708  15636 432476    0    0     0     0 18309 4130 4 96  0  0  0  0
31  0      0 247668  15636 432528    0    0     0     0 18455 4639 4 96  0  0  0  0
33  0      0 243104  15636 432580    0    0     0     0 18301 4097 3 97  0  0  0  0
19  0      0 244128  15644 432632    0    0     0    16 18199 4116 5 95  0  0  0  0
28  0      0 247104  15644 432684    0    0     0     0 18112 4184 4 96  0  0  0  0
21  0      0 248852  15644 432736    0    0     0     0 17931 3994 4 96  0  0  0  0
28  0      0 239988  15644 432788    0    0     0     0 18751 4101 4 96  0  0  0  0
25  0      0 242164  15644 432848    0    0     0     0 18579 4291 4 96  0  0  0  0
33  0      0 245332  15652 432904    0    0     0    16 18268 4174 3 97  0  0  0  0
30  0      0 245876  15652 432956    0    0     0     0 17787 3927 4 96  0  0  0  0
36  0      0 236212  15652 433008    0    0     0     0 17545 3884 5 95  0  0  0  0
29  0      0 234580  15652 435136    0    0  2032     0 17488 4240 4 96  0  0  0  0
36  0      0 237620  15652 435144    0    0     0     0 18271 4221 4 96  0  0  0  0
37  0      0 238964  15660 435196    0    0     0    16 17716 3864 3 97  0  0  0  0
30  0      0 243408  15660 435244    0    0     0     0 17491 4193 4 96  0  0  0  0
20  0      0 244752  15660 435296    0    0     0     0 18288 4053 4 96  0  0  0  0
21  0      0 244016  15660 435356    0    0     0     0 18351 4162 5 95  0  0  0  0
21  0      0 237712  15660 435404    0    0     0     0 17517 3952 4 96  0  0  0  0
39  0      0 239692  15668 435452    0    0     0    16 16372 4093 4 96  0  0  0  0
29  0      0 244268  15668 435500    0    0     0     0 16321 3898 6 94  0  0  0  0
23  0      0 240236  15668 435548    0    0     0     0 16276 4029 3 97  0  0  0  0
36  0      0 239084  15668 437260    0    0  1612   168 17010 4432 5 95  0  0  0  0
33  0      0 234696  15668 437260    0    0     0     0 15687 3740 4 96  0  0  0  0
34  0      0 235868  15676 437300    0    0     0    16 16486 3821 4 96  0  0  0  0
34  0      0 236540  15676 437348    0    0     0    64 16539 3824 4 96  0  0  0  0
36  0      0 236348  15676 437400    0    0     0     8 16157 3895 5 95  0  0  0  0
14  0      0 241212  15676 437444    0    0     0     0 16225 3993 4 96  0  0  0  0
