procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
22  0      0 311268  15564 430224    0    0 53758   742 3446   47  3 31 60  6  0  0
37  0      0 307628  15564 430280    0    0     0     0 16940 6759 4 96  0  0  0  0
37  0      0 309344  15564 430352    0    0     0     0 17100 7040 4 96  0  0  0  0
22  0      0 296560  15564 430452    0    0     0     0 16874 7363 4 96  0  0  0  0
36  0      0 294660  15564 430500    0    0     0     0 17446 8495 4 96  0  0  0  0
49  0      0 292952  15572 430548    0    0     0    68 17662 8007 4 96  0  0  0  0
22  0      0 296608  15572 430684    0    0     0     0 17586 6202 4 96  0  0  0  0
31  0      0 294708  15572 430732    0    0     0     0 17832 5006 5 95  0  0  0  0
71  0      0 282068  15572 430796    0    0     0     0 17602 6881 4 96  0  0  0  0
46  0      0 279684  15572 430936    0    0     0     0 18179 7653 4 96  0  0  0  0
38  0      0 271380  15580 431000    0    0     0    24 17984 4413 4 96  0  0  0  0
33  0      0 274200  15580 431052    0    0     0     0 18175 4018 4 96  0  0  0  0
40  0      0 275868  15580 431104    0    0     0     0 17899 3737 4 96  0  0  0  0
43  0      0 273380  15580 431156    0    0     0     0 18233 4321 4 96  0  0  0  0
23  0      0 275656  15580 431244    0    0     0     0 18219 4507 5 95  0  0  0  0
39  0      0 275724  15588 431296    0    0     0    20 18352 4053 4 96  0  0  0  0
28  0      0 267308  15588 431396    0    0     0     0 18162 4562 4 96  0  0  0  0
23  0      0 268428  15588 431396    0    0     0     0 18664 4216 5 95  0  0  0  0
43  0      0 270212  15588 431452    0    0     0     0 18551 4350 4 96  0  0  0  0
33  0      0 266372  15588 431508    0    0     0     0 18770 4121 3 97  0  0  0  0
17  0      0 269220  15596 431560    0    0     0    16 18411 4176 4 96  0  0  0  0
29  0      0 270256  15596 431620    0    0     0     0 17892 4087 4 96  0  0  0  0
16  0      0 266128  15596 431672    0    0     0     0 17917 3928 4 96  0  0  0  0
30  0      0 268848  15596 431720    0    0     0     0 18516 4317 5 95  0  0  0  0
 9  0      0 270772  15596 431780    0    0     0     0 18246 4213 4 96  0  0  0  0
24  0      0 269560  15604 431856    0    0     0    16 17596 4220 4 96  0  0  0  0
47  0      0 264504  15604 431884    0    0     0   212 17841 4395 3 97  0  0  0  0
51  0      0 253240  15604 431936    0    0     0  4260 17982 4491 4 96  0  0  0  0
23  0      0 252868  15604 431976    0    0     0    40 17482 4014 5 95  0  0  0  0
30  0      0 255056  15604 432024    0    0     0     4 17670 4184 4 96  0  0  0  0
35  0      0 255312  15616 432080    0    0     0    64 17990 4162 5 95  0  0  0  0
30  0      0 256240  15616 432132    0    0     0     0 17845 3972 4 96  0  0  0  0
23  0      0 257168  15616 432188    0    0     0     4 17633 3998 4 96  0  0  0  0
29  0      0 259952  15616 432232    0    0     0  1684 18337 4106 5 95  0  0  0  0
43  0      0 255504  15616 432284    0    0     0     0 17960 4088 5 95  0  0  0  0
35  0      0 244656  15624 432344    0    0     0    36 18328 4181 4 96  0  0  0  0
35  0      0 246704  15624 432392    0    0     0     0 17562 3836 5 95  0  0  0  0
26  0      0 246032  15624 432444    0    0     0     0 17463 4053 3 97  0  0  0  0
30  1      0 235792  15624 432496    0    0     0     0 17892 4595 4 96  0  0  0  0
34  0      0 241552  15624 432552    0    0     0     0 18309 4154 5 95  0  0  0  0
24  0      0 234832  15632 432608    0    0     0    16 17116 3777 4 96  0  0  0  0
17  0      0 240536  15632 432656    0    0     0     0 17378 4014 4 96  0  0  0  0
50  0      0 239800  15632 432704    0    0     0     0 18400 4161 3 97  0  0  0  0
25  0      0 242648  15632 432756    0    0     0     0 17948 4106 4 96  0  0  0  0
38  0      0 240920  15632 432816    0    0     0     0 18209 3992 4 96  0  0  0  0
15  0      0 240476  15640 432868    0    0     0    16 18528 4225 4 96  0  0  0  0
31  0      0 243064  15640 432928    0    0     0     0 18551 3995 5 95  0  0  0  0
36  0      0 238872  15640 432980    0    0     0     0 18223 4158 4 96  0  0  0  0
30  0      0 231992  15640 435092    0    0  2032     0 18334 3914 3 97  0  0  0  0
53  0      0 231448  15640 435120    0    0     0     0 18459 4167 4 96  0  0  0  0
19  0      0 234464  15648 435164    0    0     0    16 18170 3811 4 96  0  0  0  0
14  0      0 237920  15648 435224    0    0     0     0 18304 3910 4 96  0  0  0  0
22  0      0 243328  15648 435280    0    0     0     0 18455 4277 4 96  0  0  0  0
12  0      0 244896  15648 435336    0    0     0     0 18347 4167 4 96  0  0  0  0
27  0      0 241504  15648 435388    0    0     0     0 17972 4171 5 95  0  0  0  0
26  0      0 244704  15656 435464    0    0     0    16 17651 4257 3 97  0  0  0  0
37  0      0 242400  15656 435488    0    0     0     0 16656 3883 6 94  0  0  0  0
 9  0      0 244480  15656 435536    0    0     0     0 16482 3898 3 97  0  0  0  0
27  0      0 247016  15656 435584    0    0     0   172 16558 4364 6 94  0  0  0  0
33  0      0 236840  15656 437280    0    0  1612     0 16593 4063 4 96  0  0  0  0
22  0      0 237488  15664 437316    0    0     0    16 16663 3974 4 96  0  0  0  0
31  0      0 236956  15664 437336    0    0     0    56 16571 4032 5 95  0  0  0  0
32  0      0 233084  15664 437384    0    0     0     0 17203 3961 3 97  0  0  0  0
26  0      0 224576  15664 437436    0    0     0     8 15927 3760 6 94  0  0  0  0
25  0      0 229800  15664 437480    0    0     0  1548 16422 4039 4 96  0  0  0  0
22  0      0 235916  15672 437556    0    0     0    36 17975 4198 4 96  0  0  0  0
42  0      0 233004  15672 437584    0    0     0     0 18025 4139 3 97  0  0  0  0
35  0      0 235532  15672 437644    0    0     0     0 17368 3956 5 95  0  0  0  0
17  0      0 237516  15672 437688    0    0     0     0 16625 4131 4 96  0  0  0  0
27  0      0 235724  15672 437744    0    0     0     0 18467 4249 5 95  0  0  0  0
35  0      0 223180  15680 438236    0    0   392    16 18480 4897 3 97  0  0  0  0
41  2      0 218812  15680 438240    0    0     0     0 17389 4018 4 96  0  0  0  0
36  0      0 219996  15680 438296    0    0     0     0 16331 3892 5 95  0  0  0  0
29  0      0 229364  15680 438340    0    0     0     0 17603 3945 4 96  0  0  0  0
50  0      0 226036  15680 438388    0    0     0     0 17499 3965 4 96  0  0  0  0
19  0      0 232628  15688 438436    0    0     0    20 17798 4035 4 96  0  0  0  0
43  0      0 222468  15688 438500    0    0     0     0 17343 4003 4 96  0  0  0  0
24  0      0 232460  15688 438548    0    0     0     0 17563 4026 5 95  0  0  0  0
48  0      0 221808  15688 438604    0    0     0     0 17280 3860 3 97  0  0  0  0
29  0      0 232396  15688 438648    0    0     0     0 17629 3822 4 96  0  0  0  0
31  0      0 234836  15696 438724    0    0     0    16 17805 4185 3 97  0  0  0  0
24  0      0 222880  15696 438924    0    0   120     0 17557 4376 5 95  0  0  0  0
19  0      0 226436  15696 438920    0    0     0     0 17543 4322 4 96  0  0  0  0
17  0      0 218280  15696 438968    0    0     0     0 17554 3869 5 95  0  0  0  0
25  0      0 217352  15696 439016    0    0     0     0 17552 3816 3 97  0  0  0  0
23  0      0 218680  15704 439104    0    0     0    16 17624 4156 5 95  0  0  0  0
37  0      0 220472  15704 439128    0    0     0     0 18092 4139 4 96  0  0  0  0
35  0      0 219728  15704 439180    0    0     0     0 18000 4078 5 95  0  0  0  0
22  0      0 213424  15704 439232    0    0     0     0 17637 4035 4 96  0  0  0  0
31  0      0 221012  15704 439284    0    0     0     0 18435 4139 4 96  0  0  0  0
24  4      0 225756  15712 439368    0    0     0    16 17755 4195 4 96  0  0  0  0
46  0      0 218844  15712 439396    0    0     0     0 17757 3975 4 96  0  0  0  0
14  0      0 214072  15712 440024    0    0   520     0 18211 4573 5 95  0  0  0  0
35  0      0 207000  15712 440164    0    0   148     0 18363 4423 4 96  0  0  0  0
25  0      0 211640  15712 440228    0    0     0     0 18319 3859 4 96  0  0  0  0
27  0      0 207552  15720 440300    0    0     0  1596 18094 4142 4 96  0  0  0  0
37  0      0 210948  15720 440328    0    0     0    24 18671 4084 5 95  0  0  0  0
27  0      0 206536  15720 440384    0    0     0     0 18460 3943 5 95  0  0  0  0
34  0      0 212868  15720 440432    0    0     0     0 17941 4232 3 97  0  0  0  0
17  0      0 219508  15720 440492    0    0     0     0 18080 4157 3 97  0  0  0  0
18  0      0 207916  15728 440572    0    0     0    16 18074 4158 5 95  0  0  0  0
29  0      0 215044  15728 440596    0    0     0     0 18306 4002 3 97  0  0  0  0
28  0      0 217476  15728 440648    0    0     0     0 18196 4071 5 95  0  0  0  0
28  0      0 214244  15728 441624    0    0   916     0 18280 4169 4 96  0  0  0  0
30  0      0 212692  15728 441712    0    0     0     4 18257 4579 4 96  0  0  0  0
18  0      0 213272  15736 441748    0    0     0    16 18317 4216 4 96  0  0  0  0
20  0      0 214708  15736 441772    0    0     0     0 18086 3942 4 96  0  0  0  0
26  0      0 217696  15736 441828    0    0     0     0 18533 4125 5 95  0  0  0  0
36  0      0 216564  15736 441888    0    0     0     0 18343 4216 5 95  0  0  0  0
27  0      0 217848  15736 441940    0    0     0     0 18443 4061 4 96  0  0  0  0
26  0      0 217828  15744 442020    0    0     0    16 18370 4200 4 96  0  0  0  0
31  0      0 214372  15744 442076    0    0     0     0 18557 4088 5 95  0  0  0  0
25  0      0 208848  15744 442100    0    0     0     0 18641 4001 4 96  0  0  0  0
19  0      0 217064  15744 442184    0    0     0     0 18430 4051 5 95  0  0  0  0
33  0      0 221384  15744 442208    0    0     0     0 18199 4173 4 96  0  0  0  0
27  0      0 207912  15752 447692    0    0  5376    16 18471 4932 4 96  0  0  0  0
33  0      0 207648  15752 447688    0    0     0     0 18329 4272 4 96  0  0  0  0
