procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 370436  15588 416724    0    0 16628   238 1188   11  1  6 92  2  0  0
 0  0      0 364872  15588 429004    0    0 12268     0 3246  921  0 13 87  0  0  0
 0  0      0 362032  15588 429056    0    0     0     0 5048 1752  1 21 78  0  0  0
 0  0      0 360476  15588 429064    0    0     0     0 4151 1381  0 19 81  0  0  0
 0  0      0 360384  15588 429072    0    0     0     0 3974 1375  1 17 82  0  0  0
 0  0      0 359564  15596 429072    0    0     0    64 4432 1444  1 21 78  0  0  0
 0  0      0 359568  15596 429092    0    0     0     0 4112 1340  1 18 81  0  0  0
 0  0      0 358352  15596 429096    0    0     0     0 3783 1352  0 17 83  0  0  0
 0  0      0 358352  15596 429104    0    0     0     0 4424 1474  1 19 80  0  0  0
 2  0      0 356812  15596 429112    0    0     0     0 4021 1373  1 19 80  0  0  0
 0  0      0 357228  15604 429112    0    0     0    16 4514 1391  0 18 82  0  0  0
 0  0      0 340628  15604 429128    0    0     0   208 4135 1454  1 19 80  0  0  0
 0  0      0 340624  15604 429148    0    0     0  3984 4638 1959  1 19 79  1  0  0
 0  0      0 340976  15604 429152    0    0     0    44 3873 1421  1 16 83  0  0  0
 0  0      0 340848  15604 429160    0    0     0     0 4673 1619  1 19 80  0  0  0
 0  0      0 340976  15616 429156    0    0     0    60 4210 1448  1 17 82  0  0  0
 0  0      0 341040  15616 429176    0    0     0     0 3738 1348  0 17 83  0  0  0
 0  0      0 340732  15616 429184    0    0     0     0 3991 1424  1 19 80  0  0  0
 0  0      0 340956  15616 429188    0    0     0     0 4299 1503  0 19 81  0  0  0
 0  0      0 340956  15616 429196    0    0     0     0 4123 1452  1 19 80  0  0  0
 0  0      0 339996  15624 429196    0    0     0    16 4144 1443  1 18 81  0  0  0
 2  0      0 327804  15624 431228    0    0  2032     0 4269 1470  0 20 79  1  0  0
 0  0      0 328060  15624 431252    0    0     0     0 3984 1498  0 17 83  0  0  0
 0  0      0 328060  15624 431256    0    0     0   168 4266 1467  1 20 79  0  0  0
 0  0      0 328252  15624 431264    0    0     0     0 4255 1432  1 17 82  0  0  0
 0  0      0 328316  15632 431264    0    0     0    32 4400 1485  1 19 80  0  0  0
 0  0      0 328348  15632 431280    0    0     0     0 3766 1405  1 16 83  0  0  0
 0  0      0 328712  15632 431288    0    0     0     0 3513 1314  0 16 84  0  0  0
 0  0      0 328392  15632 431292    0    0     0     0 4190 1475  1 19 80  0  0  0
 0  0      0 328456  15632 431300    0    0     0     0 3983 1385  0 17 83  0  0  0
 0  0      0 328264  15640 431300    0    0     0    16 4177 1447  1 18 81  0  0  0
 0  0      0 328232  15640 431320    0    0     0     4 3493 1318  0 15 85  0  0  0
 0  0      0 328040  15640 431328    0    0     0     0 4305 1432  1 20 79  0  0  0
 0  0      0 326996  15640 431332    0    0     0     0 4323 1479  1 19 80  0  0  0
 0  0      0 327380  15640 431340    0    0     0     0 3959 1474  0 17 83  0  0  0
 1  0      0 327956  15648 431340    0    0     0    24 4479 1531  0 21 79  0  0  0
 0  0      0 328020  15648 431356    0    0     0     0 4678 1481  1 19 80  0  0  0
 0  0      0 328468  15648 431364    0    0     0     0 4177 1420  0 19 81  0  0  0
 0  0      0 328500  15648 431368    0    0     0     0 3805 1411  1 16 83  0  0  0
 0  0      0 328436  15648 431376    0    0     0     0 4205 1478  1 19 80  0  0  0
 1  0      0 328948  15656 431376    0    0     0    16 3987 1390  1 18 81  0  0  0
 0  0      0 320564  15656 433036    0    0  1612     0 4026 1475  0 18 82  0  0  0
 0  0      0 320564  15656 433012    0    0     0   164 4489 1562  1 21 78  0  0  0
 0  0      0 320820  15656 433020    0    0     0     0 4041 1458  0 19 81  0  0  0
 0  0      0 319508  15656 433024    0    0     0     0 3877 1360  1 20 79  0  0  0
 0  0      0 319796  15656 433032    0    0     0     0 4273 1422  0 19 81  0  0  0
 1  0      0 319796  15664 433040    0    0     0    16 3822 1449  1 17 81  1  0  0
 0  0      0 319220  15664 433052    0    0     0    52 3909 1427  1 19 80  0  0  0
 0  0      0 319284  15664 433060    0    0     0     0 4345 1488  1 19 80  0  0  0
 0  0      0 319860  15664 433064    0    0     0     0 4200 1458  0 22 78  0  0  0
 0  0      0 318260  15664 433072    0    0     0     0 4498 1510  1 19 80  0  0  0
 0  0      0 318324  15672 433080    0    0     0    16 3901 1448  0 18 82  0  0  0
 0  0      0 302260  15672 433600    0    0   512     0 4460 1623  1 20 79  0  0  0
 0  0      0 302452  15672 433608    0    0     0     0 4455 1508  1 19 80  0  0  0
 0  0      0 302612  15672 433612    0    0     0   224 4458 1516  1 19 80  0  0  0
 0  0      0 302676  15672 433620    0    0     0     4 4014 1385  1 19 80  0  0  0
 0  0      0 302804  15680 433636    0    0     0    28 4146 1404  0 19 81  0  0  0
 0  0      0 302804  15680 433644    0    0     0     0 4419 1560  1 20 79  0  0  0
 0  0      0 303348  15680 433652    0    0     0     0 4264 1467  0 19 81  0  0  0
 0  0      0 303540  15680 433656    0    0     0     0 3886 1398  1 19 80  0  0  0
 0  0      0 303956  15680 433664    0    0     0     0 4248 1446  1 19 80  0  0  0
 6  0      0 304116  15688 433672    0    0     0    16 4165 1498  1 20 79  0  0  0
 0  0      0 295212  15688 434232    0    0   520     8 4196 1628  0 19 81  0  0  0
 8  0      0 297740  15688 434208    0    0     0     0 4292 1544  1 19 80  0  0  0
 0  0      0 297868  15688 434212    0    0     0     0 3969 1385  1 18 81  0  0  0
 0  0      0 297836  15688 434220    0    0     0     0 3949 1384  0 17 83  0  0  0
 0  0      0 297004  15696 434228    0    0     0    24 4039 1364  1 18 80  1  0  0
 0  0      0 297560  15696 434236    0    0     0     0 3933 1407  0 19 81  0  0  0
 0  0      0 297144  15696 434244    0    0     0     0 3851 1431  2 18 80  0  0  0
 1  0      0 297144  15696 434248    0    0     0     0 4018 1365  0 18 82  0  0  0
 0  0      0 297208  15696 434256    0    0     0     0 4202 1464  1 19 80  0  0  0
 0  0      0 297336  15704 434264    0    0     0    16 4167 1481  1 18 81  0  0  0
 0  0      0 296152  15704 435372    0    0  1064     0 4073 1520  0 19 81  0  0  0
 0  0      0 296152  15704 435344    0    0     0     0 3982 1444  1 17 82  0  0  0
 0  0      0 296184  15704 435348    0    0     0     0 4284 1426  0 19 81  0  0  0
 0  0      0 296248  15704 435356    0    0     0     0 4142 1445  1 18 81  0  0  0
 0  0      0 296504  15712 435364    0    0     0    16 4129 1411  0 19 81  0  0  0
 0  0      0 296536  15712 435372    0    0     0     0 4018 1462  1 17 82  0  0  0
 2  0      0 296408  15712 435380    0    0     0     0 4460 1516  0 21 79  0  0  0
 0  0      0 296408  15712 435388    0    0     0     0 4042 1426  1 18 81  0  0  0
 0  0      0 296504  15712 435392    0    0     0     0 4551 1465  1 19 80  0  0  0
 0  0      0 296504  15720 435400    0    0     0    40 3864 1458  0 18 82  0  0  0
 1  0      0 294160  15720 440628    0    0  5228     0 4213 1502  0 22 78  0  0  0
 0  0      0 293296  15720 440644    0    0     0     0 4627 1488  1 20 79  0  0  0
 0  0      0 294148  15720 440652    0    0     0   228 3505 1294  1 17 82  0  0  0
 0  0      0 292964  15720 440656    0    0     0     0 4333 1400  1 18 81  0  0  0
 3  0      0 293028  15728 440668    0    0     0    32 4001 1499  0 18 81  1  0  0
 0  0      0 293092  15728 440676    0    0     0     0 3763 1377  1 16 83  0  0  0
 0  0      0 293284  15728 440684    0    0     0     0 4037 1444  1 18 81  0  0  0
 1  0      0 293444  15728 440692    0    0     0     0 4208 1462  1 22 77  0  0  0
