procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
24  0      0 348168  15328 429676    0    0 58643   860 2382   47  3 26 64  7  0  0
38  0      0 318252  15564 430236    0    0   160     0 16904 5993 3 97  0  0  0  0
16  0      0 313032  15564 430340    0    0     0     0 16159 6669 4 96  0  0  0  0
37  0      0 306504  15564 430440    0    0     0     0 17432 6864 4 96  0  0  0  0
42  0      0 305868  15564 430492    0    0     0     0 17698 6432 3 97  0  0  0  0
36  0      0 299376  15572 430620    0    0     0    72 17657 5436 4 96  0  0  0  0
59  0      0 277756  15572 430700    0    0     0     0 17212 6715 4 96  0  0  0  0
41  0      0 273332  15572 430800    0    0     0     0 17469 8223 3 97  0  0  0  0
51  0      0 270808  15572 430832    0    0     0     0 17452 8258 5 95  0  0  0  0
28  0      0 274220  15572 430940    0    0     0     0 18108 4060 4 96  0  0  0  0
33  0      0 274544  15580 430992    0    0     0    24 18112 4019 4 96  0  0  0  0
32  0      0 279520  15580 431048    0    0     0     0 18387 4062 4 96  0  0  0  0
32  0      0 281860  15580 431100    0    0     0     0 18374 4584 4 96  0  0  0  0
33  0      0 284648  15580 431156    0    0     0     0 18588 4267 4 96  0  0  0  0
29  0      0 286064  15580 431216    0    0     0     0 18548 4421 3 97  0  0  0  0
24  0      0 281596  15588 431264    0    0     0    16 18188 4271 5 95  0  0  0  0
20  0      0 276512  15588 431360    0    0     0     0 18210 4396 4 96  0  0  0  0
21  0      0 269184  15588 431384    0    0     0     0 17643 4407 4 96  0  0  0  0
18  0      0 269800  15588 431428    0    0     0     0 18607 4458 5 95  0  0  0  0
23  0      0 268488  15588 431480    0    0     0     0 18012 4152 4 96  0  0  0  0
28  0      0 272212  15596 431520    0    0     0    16 18032 4072 4 96  0  0  0  0
27  0      0 276436  15596 431580    0    0     0     0 18526 4186 4 96  0  0  0  0
34  0      0 266392  15596 431636    0    0     0     0 18967 4213 4 96  0  0  0  0
23  0      0 271652  15596 431692    0    0     0     0 18463 4320 4 96  0  0  0  0
30  0      0 270756  15596 431740    0    0     0     0 17806 3932 3 97  0  0  0  0
36  0      0 270724  15604 431784    0    0     0    16 18181 4023 4 96  0  0  0  0
28  0      0 272040  15604 431876    0    0     0     0 18202 4055 4 96  0  0  0  0
38  0      0 264328  15604 431968    0    0     0   216 18501 4503 4 96  0  0  0  0
37  0      0 257512  15604 432000    0    0     0  4204 18683 4816 3 97  0  0  0  0
35  0      0 255176  15604 432048    0    0     0    44 17964 3959 4 96  0  0  0  0
33  0      0 259140  15616 432088    0    0     0    68 18041 4108 4 96  0  0  0  0
39  0      0 257956  15616 432164    0    0     0     4 18350 3983 4 96  0  0  0  0
36  0      0 255076  15616 432208    0    0     0     0 18384 4164 5 95  0  0  0  0
19  0      0 258500  15616 432264    0    0     0     0 18196 4117 4 96  0  0  0  0
37  0      0 255300  15616 432312    0    0     0  1692 17886 4126 5 95  0  0  0  0
37  0      0 258124  15624 432356    0    0     0    36 18190 3975 3 97  0  0  0  0
35  0      0 254572  15624 432420    0    0     0     0 18527 4133 5 95  0  0  0  0
22  0      0 257676  15624 432472    0    0     0     0 18556 4168 3 97  0  0  0  0
32  0      0 244700  15624 432528    0    0     0     0 18368 4703 5 95  0  0  0  0
35  0      0 243932  15624 432580    0    0     0     0 18382 4305 4 96  0  0  0  0
36  0      0 242128  15632 432632    0    0     0    16 18657 4341 3 97  0  0  0  0
25  0      0 239152  15632 432696    0    0     0     0 17560 3949 4 96  0  0  0  0
23  0      0 240080  15632 432748    0    0     0     0 17643 4047 4 96  0  0  0  0
26  0      0 242680  15632 432796    0    0     0     0 17897 3978 4 96  0  0  0  0
30  0      0 242744  15632 432852    0    0     0     0 18802 4288 4 96  0  0  0  0
19  0      0 243224  15640 432900    0    0     0    16 18348 4214 5 95  0  0  0  0
31  0      0 241624  15640 432960    0    0     0     0 18369 4153 5 95  0  0  0  0
18  0      0 237468  15640 433020    0    0     0     0 18679 3920 4 96  0  0  0  0
