procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
30  0      0 280640  15588 459724    0    0 42145   686 7360   52  3 50 42  5  0  0
29  0      0 284160  15588 459796    0    0     0     0 17665 6755 3 97  0  0  0  0
20  0      0 288072  15588 459856    0    0     0     0 18219 5753 3 97  0  0  0  0
22  0      0 287016  15588 459952    0    0     0     0 19169 4538 3 97  0  0  0  0
15  0      0 276948  15588 460040    0    0     0     0 18835 6275 4 96  0  0  0  0
36  0      0 269596  15596 460152    0    0     0    64 18669 6971 4 96  0  0  0  0
36  0      0 240368  15596 460284    0    0     0     0 17911 7538 3 97  0  0  0  0
16  0      0 243288  15596 460348    0    0     0     0 19149 4819 3 97  0  0  0  0
30  0      0 245032  15596 460396    0    0     0     0 18788 3986 3 97  0  0  0  0
20  0      0 247100  15596 460448    0    0     0     0 19382 3947 3 97  0  0  0  0
50  0      0 249580  15604 460512    0    0     0    24 19252 4229 3 97  0  0  0  0
35  0      0 252368  15604 460568    0    0     0     0 19050 4354 4 96  0  0  0  0
17  0      0 245236  15604 460616    0    0     0     0 19064 4341 4 96  0  0  0  0
24  0      0 248992  15604 460672    0    0     0     0 19194 4289 3 97  0  0  0  0
47  0      0 239456  15604 460728    0    0     0     0 18897 4245 3 97  0  0  0  0
27  0      0 242408  15612 460780    0    0     0    16 18350 4426 4 96  0  0  0  0
29  0      0 245448  15612 460836    0    0     0     0 17952 4110 3 97  0  0  0  0
27  0      0 249244  15612 460892    0    0     0     0 19018 4104 4 96  0  0  0  0
36  0      0 249276  15612 460952    0    0     0     0 18836 3987 3 97  0  0  0  0
28  0      0 250368  15612 461008    0    0     0     0 18879 4722 4 96  0  0  0  0
30  0      0 252300  15620 461060    0    0     0    16 19140 4124 4 96  0  0  0  0
10  0      0 254060  15620 461116    0    0     0     0 18724 4208 3 97  0  0  0  0
37  0      0 256076  15620 461172    0    0     0     0 19091 4389 5 95  0  0  0  0
34  0      0 243500  15620 461300    0    0     0   212 18682 4104 4 96  0  0  0  0
19  0      0 247052  15620 461316    0    0     0  5084 18690 4282 5 95  0  0  0  0
23  0      0 250092  15632 461356    0    0     0    92 18497 4183 2 98  0  0  0  0
21  0      0 246220  15632 461408    0    0     0     4 18711 4126 3 97  0  0  0  0
28  0      0 245548  15632 461464    0    0     0     0 18594 4100 4 96  0  0  0  0
47  0      0 246124  15632 461520    0    0     0     0 18487 3865 3 97  0  0  0  0
30  0      0 245844  15632 461576    0    0     0     0 19024 4514 4 96  0  0  0  0
29  0      0 250576  15640 461632    0    0     0  1760 18648 4105 3 97  0  0  0  0
27  0      0 238608  15640 461684    0    0     0     0 18584 4215 4 96  0  0  0  0
30  0      0 242828  15640 461744    0    0     0     4 18993 4348 3 97  0  0  0  0
47  0      0 243540  15640 461796    0    0     0     0 18388 4209 5 95  0  0  0  0
28  0      0 234916  15640 461848    0    0     0     0 18466 4665 4 96  0  0  0  0
22  0      0 237476  15648 461904    0    0     0    40 19039 4282 3 97  0  0  0  0
48  0      0 230884  15648 461956    0    0     0     0 18314 4279 4 96  0  0  0  0
