procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 294520  15696 434676    0    0     0     0 5162 1862  1 24 75  0  0  0
 0  0      0 294168  15696 434688    0    0     0     0 5290 1924  1 24 75  0  0  0
 0  0      0 293172  15704 435244    0    0   512    16 5042 1876  1 24 74  1  0  0
 1  0      0 294984  15704 435224    0    0     0     0 5213 1786  1 24 75  0  0  0
 0  0      0 295272  15704 435232    0    0     0     0 5378 1950  0 25 75  0  0  0
 0  0      0 295336  15704 435244    0    0     0     0 5037 1832  1 23 76  0  0  0
 0  0      0 294728  15704 435256    0    0     0     0 5756 2010  1 26 73  0  0  0
 0  0      0 293556  15712 435268    0    0     0    16 5732 1909  0 24 76  0  0  0
 0  0      0 294292  15712 435276    0    0     0     0 5724 1955  1 27 72  0  0  0
 0  0      0 294624  15712 435288    0    0     0     0 5332 1803  1 24 75  0  0  0
 2  0      0 294088  15712 435300    0    0     0     0 5117 1836  1 25 74  0  0  0
 0  0      0 294984  15712 435308    0    0     0     0 5653 1938  1 31 68  0  0  0
 0  0      0 294888  15720 436024    0    0   668    16 5135 1869  1 22 75  2  0  0
 0  0      0 295348  15720 436000    0    0     0     0 5057 1790  2 23 75  0  0  0
 0  0      0 294516  15720 436008    0    0     0     0 4770 1825  0 22 78  0  0  0
 0  0      0 293364  15720 436020    0    0     0     0 4953 1670  1 23 76  0  0  0
 0  0      0 294144  15720 436040    0    0     0     0 5719 1987  1 26 73  0  0  0
 6  0      0 294400  15728 436052    0    0     0    16 5350 1949  1 24 75  0  0  0
 0  0      0 293504  15728 436060    0    0     0    24 4620 1768  1 21 78  0  0  0
 0  0      0 293728  15728 436072    0    0     0     4 5486 1853  1 24 75  0  0  0
 8  0      0 293236  15728 436084    0    0     0   340 5666 1875  1 28 71  0  0  0
 0  0      0 293748  15728 436092    0    0     0     0 5228 1901  1 24 75  0  0  0
 0  0      0 294324  15736 436108    0    0     0    28 5560 2056  0 26 74  0  0  0
 0  0      0 292116  15736 437036    0    0   916     0 5223 1793  1 27 72  0  0  0
 0  0      0 292244  15736 437048    0    0     0     0 5838 1893  1 26 73  0  0  0
