procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
26  0      0 313260  15576 426240    0    0 53501   725 3205   47  3 30 61  6  0  0
59  0      0 311064  15576 426296    0    0     0     0 17053 6200 4 96  0  0  0  0
61  0      0 312712  15576 426360    0    0     0     0 17474 6524 5 95  0  0  0  0
30  0      0 303696  15576 426456    0    0     0     0 17227 7131 4 96  0  0  0  0
43  0      0 301388  15576 426548    0    0     0     0 17612 7242 4 96  0  0  0  0
40  0      0 302140  15584 426596    0    0     0    68 17655 7944 5 95  0  0  0  0
34  0      0 299644  15584 426648    0    0     0     0 17487 8244 4 96  0  0  0  0
37  0      0 298940  15584 426696    0    0     0     0 17618 7785 3 97  0  0  0  0
36  0      0 298964  15584 426740    0    0     0     0 17400 7955 4 96  0  0  0  0
72  0      0 295436  15584 426792    0    0     0     0 17397 7424 3 97  0  0  0  0
39  0      0 294564  15592 426884    0    0     0    24 18256 5165 4 96  0  0  0  0
52  0      0 288536  15592 427000    0    0     0     0 17354 6751 4 96  0  0  0  0
23  0      0 280380  15592 427092    0    0     0     0 16817 7463 4 96  0  0  0  0
31  0      0 280384  15592 427148    0    0     0     0 17651 4171 3 97  0  0  0  0
21  0      0 282388  15592 427204    0    0     0     0 18692 4409 4 96  0  0  0  0
36  0      0 283936  15600 427256    0    0     0    16 18668 4299 3 97  0  0  0  0
47  0      0 270416  15600 427372    0    0     0     0 18529 4445 4 96  0  0  0  0
24  0      0 273212  15600 427372    0    0     0     0 18866 4217 5 95  0  0  0  0
34  0      0 275168  15600 427436    0    0     0     0 18377 4068 4 96  0  0  0  0
39  0      0 274496  15600 427488    0    0     0     0 17910 4032 4 96  0  0  0  0
15  0      0 274736  15608 427540    0    0     0    16 18335 4438 3 97  0  0  0  0
26  0      0 270960  15608 427596    0    0     0     0 18531 4415 5 95  0  0  0  0
17  0      0 273244  15608 427656    0    0     0     0 18443 4250 4 96  0  0  0  0
28  0      0 275004  15608 427704    0    0     0     0 17730 4069 4 96  0  0  0  0
29  0      0 276892  15608 427760    0    0     0     0 18484 3972 4 96  0  0  0  0
34  0      0 278248  15616 427808    0    0     0    16 18335 4144 4 96  0  0  0  0
34  0      0 276044  15616 427860    0    0     0   212 18353 4029 5 95  0  0  0  0
34  0      0 250220  15616 427924    0    0     0  3716 18411 4818 3 97  0  0  0  0
36  0      0 253240  15616 427972    0    0     0    48 17781 4032 5 95  0  0  0  0
15  0      0 254264  15616 428016    0    0     0     4 17913 4029 4 96  0  0  0  0
33  0      0 253528  15628 428072    0    0     0    80 18210 4042 3 97  0  0  0  0
29  0      0 256128  15628 428120    0    0     0     4 18795 4002 5 95  0  0  0  0
42  0      0 252924  15628 428176    0    0     0     0 18161 4020 4 96  0  0  0  0
35  0      0 254360  15628 428224    0    0     0  1684 18770 4152 4 96  0  0  0  0
17  0      0 258712  15628 428276    0    0     0     0 18578 4088 4 96  0  0  0  0
