procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 298200  15580 461708    0    0 62863  1153 2788   49  3 27 63  8  0  0
27  0      0 281072  15580 461772    0    0     0     0 17372 6482 3 97  0  0  0  0
28  0      0 279564  15580 461852    0    0     0     0 17700 6816 4 96  0  0  0  0
36  0      0 278316  15580 462000    0    0     0     0 18060 6353 3 97  0  0  0  0
38  0      0 248784  15580 462116    0    0     0     0 17972 8133 4 96  0  0  0  0
18  0      0 247388  15588 462180    0    0     0    64 17861 9405 3 97  0  0  0  0
40  0      0 233304  15588 462240    0    0     0     0 17856 10020 4 96 0  0  0  0
39  0      0 236756  15588 462420    0    0     0     0 18336 8275 3 97  0  0  0  0
36  0      0 239704  15588 462504    0    0     0     0 18925 4115 3 97  0  0  0  0
17  0      0 243416  15588 462564    0    0     0     0 18839 4405 3 97  0  0  0  0
15  0      0 245300  15596 462604    0    0     0    24 18827 4296 3 97  0  0  0  0
31  0      0 245940  15596 462664    0    0     0     0 18576 4144 4 96  0  0  0  0
45  0      0 242260  15596 462720    0    0     0     0 18547 4013 4 96  0  0  0  0
24  0      0 244824  15596 462776    0    0     0     0 18397 4167 3 97  0  0  0  0
41  0      0 243352  15596 462828    0    0     0     0 18550 4217 5 95  0  0  0  0
13  0      0 244684  15604 462876    0    0     0    20 18590 4776 3 97  0  0  0  0
23  0      0 248368  15604 462932    0    0     0     0 18772 4489 5 95  0  0  0  0
36  0      0 249680  15604 462992    0    0     0     0 18650 4344 3 97  0  0  0  0
34  0      0 242832  15604 463052    0    0     0     0 18366 4064 5 95  0  0  0  0
22  0      0 241172  15604 463104    0    0     0     0 18341 4063 3 97  0  0  0  0
21  0      0 244596  15612 463148    0    0     0    16 17815 4041 4 96  0  0  0  0
32  0      0 239796  15612 463204    0    0     0     0 18809 4126 4 96  0  0  0  0
26  0      0 243536  15612 463260    0    0     0     0 18772 4271 3 97  0  0  0  0
35  0      0 246148  15612 463324    0    0     0     0 18548 4172 5 95  0  0  0  0
29  0      0 244552  15612 463380    0    0     0     0 18926 4047 3 97  0  0  0  0
19  0      0 247336  15620 463424    0    0     0    16 18817 4207 4 96  0  0  0  0
25  0      0 243944  15620 463488    0    0     0     0 18746 4072 4 96  0  0  0  0
31  0      0 246888  15620 463544    0    0     0   208 18682 4341 3 97  0  0  0  0
46  0      0 238504  15620 463600    0    0     0  5744 18491 4243 4 96  0  0  0  0
25  0      0 238280  15620 463644    0    0     0    48 18376 3921 5 95  0  0  0  0
27  0      0 242440  15632 463680    0    0     0    72 18284 4395 4 96  0  0  0  0
38  0      0 241480  15632 463748    0    0     0     4 18372 4108 5 95  0  0  0  0
12  0      0 245320  15632 463796    0    0     0     0 18291 4103 4 96  0  0  0  0
23  0      0 247368  15632 463856    0    0     0     0 18364 4324 4 96  0  0  0  0
12  0      0 244008  15632 463908    0    0     0  1744 18850 4141 3 97  0  0  0  0
11  0      0 247964  15640 463952    0    0     0    36 18944 4110 4 96  0  0  0  0
12  0      0 245732  15640 464012    0    0     0     0 18989 4218 3 97  0  0  0  0
32  0      0 239728  15640 464108    0    0     0     0 18815 5020 3 97  0  0  0  0
22  0      0 237044  15640 464120    0    0     0     0 18695 4093 4 96  0  0  0  0
16  0      0 239284  15640 464172    0    0     0     0 18827 4162 4 96  0  0  0  0
27  0      0 241364  15648 464212    0    0     0    16 18839 4297 3 97  0  0  0  0
39  0      0 235952  15648 464280    0    0     0     0 18773 4086 4 96  0  0  0  0
24  0      0 233840  15648 464328    0    0     0     0 18020 3899 3 97  0  0  0  0
14  0      0 233744  15648 464376    0    0     0     0 18490 4120 5 95  0  0  0  0
35  0      0 236432  15648 464432    0    0     0     0 18823 4320 3 97  0  0  0  0
39  0      0 232880  15656 464480    0    0     0    16 18525 4025 4 96  0  0  0  0
15  0      0 235664  15656 464544    0    0     0     0 18309 4086 4 96  0  0  0  0
16  0      0 239408  15656 464600    0    0     0     0 18399 4135 4 96  0  0  0  0
50  0      0 222360  15656 464664    0    0     0     0 18454 4616 4 96  0  0  0  0
45  0      0 215988  15656 464716    0    0     0     0 18468 3892 4 96  0  0  0  0
22  0      0 220052  15664 464760    0    0     0    16 18486 4029 4 96  0  0  0  0
34  0      0 219316  15664 464824    0    0     0     0 18647 4135 3 97  0  0  0  0
41  0      0 222816  15664 464876    0    0     0     0 18465 3999 4 96  0  0  0  0
29  0      0 224448  15664 464924    0    0     0     0 18420 4004 3 97  0  0  0  0
 6  0      0 228512  15664 464976    0    0     0     0 18643 4032 4 96  0  0  0  0
41  0      0 220320  15672 465028    0    0     0    16 18331 4210 4 96  0  0  0  0
