procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 339052  15584 437504    0    0 48109   717 3394   43  2 26 66  6  0  0
 3  0      0 339084  15584 437552    0    0     0     0 9055 3372  1 41 58  0  0  0
 0  0      0 339436  15584 437576    0    0     0     0 8915 3288  1 41 58  0  0  0
 4  0      0 337164  15584 437596    0    0     0     0 9734 3669  2 46 52  0  0  0
 0  0      0 337996  15584 437620    0    0     0     0 8829 3411  1 39 60  0  0  0
 0  0      0 334700  15592 437632    0    0     0    64 9930 3698  2 47 50  2  0  0
 0  0      0 334316  15592 437664    0    0     0     0 9891 3756  1 45 54  0  0  0
 1  0      0 334988  15592 437684    0    0     0     0 8829 3479  1 40 59  0  0  0
 0  0      0 333676  15592 437704    0    0     0     0 9741 3517  2 45 53  0  0  0
 5  0      0 333932  15592 437728    0    0     0     0 8703 3366  1 40 59  0  0  0
 0  0      0 334412  15600 437740    0    0     0    24 9446 3396  1 42 56  1  0  0
 4  0      0 333996  15600 437768    0    0     0     0 9652 3565  2 44 54  0  0  0
 3  0      0 335148  15600 437792    0    0     0     0 8985 3405  2 41 57  0  0  0
 1  0      0 334380  15600 437812    0    0     0     0 10005 3577 1 45 54  0  0  0
 0  0      0 333752  15600 437836    0    0     0     0 9643 3572  2 42 56  0  0  0
 0  0      0 330520  15608 437848    0    0     0    16 9881 3488  1 43 55  1  0  0
 0  0      0 329944  15608 437876    0    0     0     0 9806 3663  2 41 57  0  0  0
 0  0      0 330456  15608 437900    0    0     0     0 9257 3420  1 40 59  0  0  0
 0  0      0 330200  15608 437928    0    0     0     0 9860 3495  1 41 58  0  0  0
 2  0      0 331224  15608 437952    0    0     0     0 9905 3682  1 44 55  0  0  0
 7  0      0 330744  15616 437964    0    0     0    16 9542 3550  1 41 56  2  0  0
 0  0      0 330100  15616 437996    0    0     0     0 9810 3516  2 43 55  0  0  0
 0  0      0 331220  15616 438016    0    0     0     0 9405 3461  2 42 56  0  0  0
 0  0      0 330452  15616 438040    0    0     0     0 8737 3280  2 42 56  0  0  0
 2  0      0 330004  15616 438060    0    0     0     0 9291 3476  1 43 56  0  0  0
 0  0      0 321972  15624 438104    0    0     0   224 9463 3557  1 42 57  0  0  0
 0  0      0 322676  15624 438104    0    0     0  4352 10016 3802 2 41 57  0  0  0
 0  0      0 323348  15624 438120    0    0     0    48 9325 3632  1 42 57  0  0  0
 0  0      0 322272  15624 438148    0    0     0     4 9228 3469  1 42 57  0  0  0
 5  0      0 322624  15624 438168    0    0     0     0 9273 3526  2 41 57  0  0  0
 0  0      0 322272  15636 438176    0    0     0    80 9090 3264  1 40 59  0  0  0
 2  0      0 323040  15636 438212    0    0     0     4 8892 3332  2 39 58  1  0  0
 0  0      0 322416  15636 438232    0    0     0   736 9081 3393  1 41 58  0  0  0
 4  0      0 322192  15636 438256    0    0     0     0 9603 3283  2 45 53  0  0  0
 0  0      0 322800  15636 438276    0    0     0     0 8521 3254  1 40 59  0  0  0
 0  0      0 306460  15644 438292    0    0     0    36 8860 3258  2 42 56  0  0  0
 0  0      0 306468  15644 438320    0    0     0     0 9019 3277  2 40 58  0  0  0
 0  0      0 304068  15644 438340    0    0     0     0 9248 3470  1 41 58  0  0  0
 3  0      0 305052  15644 438368    0    0     0     0 9185 3266  2 41 57  0  0  0
