procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
19  0      0 324292  15580 454848    0    0 61666   995 2671   46  3 25 63  9  0  0
19  0      0 301740  15580 454936    0    0     0     0 17763 5482 3 97  0  0  0  0
16  0      0 300072  15580 455004    0    0     0     0 17948 6761 3 97  0  0  0  0
21  0      0 301224  15580 455068    0    0     0     0 18828 6776 5 95  0  0  0  0
18  0      0 299336  15580 455120    0    0     0     0 17896 6966 3 97  0  0  0  0
24  0      0 296620  15588 455160    0    0     0    64 18506 6068 2 98  0  0  0  0
36  0      0 289472  15588 455236    0    0     0     0 17882 6788 4 96  0  0  0  0
37  0      0 291272  15588 455308    0    0     0     0 18936 6622 3 97  0  0  0  0
26  0      0 287776  15588 455352    0    0     0     0 18532 7432 3 97  0  0  0  0
26  0      0 290920  15588 455404    0    0     0     0 18528 7060 4 96  0  0  0  0
22  0      0 287640  15596 455448    0    0     0    24 18688 7539 3 97  0  0  0  0
40  0      0 289532  15596 455516    0    0     0     0 18367 7317 4 96  0  0  0  0
40  0      0 292172  15596 455568    0    0     0     0 18474 7328 3 97  0  0  0  0
14  0      0 292740  15596 455628    0    0     0     0 18785 7671 4 96  0  0  0  0
29  0      0 292248  15596 455688    0    0     0     0 18319 8047 3 97  0  0  0  0
37  0      0 288324  15604 455740    0    0     0    16 18580 7050 3 97  0  0  0  0
27  0      0 286184  15604 455792    0    0     0     0 18404 7518 3 97  0  0  0  0
21  0      0 283912  15604 455848    0    0     0     0 18664 8040 4 96  0  0  0  0
29  0      0 286672  15604 455908    0    0     0     0 18286 8036 3 97  0  0  0  0
17  0      0 283632  15604 455964    0    0     0     0 18267 7625 3 97  0  0  0  0
20  0      0 287340  15612 456008    0    0     0    20 18585 7791 4 96  0  0  0  0
20  0      0 289116  15612 456072    0    0     0     0 18646 7815 3 97  0  0  0  0
24  0      0 289320  15612 456136    0    0     0     0 18463 7613 3 97  0  0  0  0
29  0      0 287412  15612 456188    0    0     0     0 18291 7112 3 97  0  0  0  0
33  0      0 286392  15612 456236    0    0     0     0 18054 6906 4 96  0  0  0  0
32  0      0 285168  15620 456284    0    0     0    16 17722 7081 4 96  0  0  0  0
19  0      0 283432  15620 456352    0    0     0     0 18020 7203 4 96  0  0  0  0
12  0      0 279184  15620 456412    0    0     0   212 17966 7277 3 97  0  0  0  0
34  0      0 282640  15620 456460    0    0     0  5136 18272 7577 4 96  0  0  0  0
20  0      0 283440  15620 456500    0    0     0    48 18067 7371 3 97  0  0  0  0
30  0      0 285948  15632 456580    0    0     0    92 18414 7356 4 96  0  0  0  0
50  0      0 276636  15632 456624    0    0     0     4 17851 6932 3 97  0  0  0  0
24  0      0 279804  15632 456672    0    0     0     0 17899 6082 3 97  0  0  0  0
39  0      0 282044  15632 456744    0    0     0     0 18274 4178 3 97  0  0  0  0
19  0      0 276748  15632 456860    0    0     0  1780 18227 4596 3 97  0  0  0  0
45  0      0 264568  15640 456936    0    0     0    36 18672 7174 4 96  0  0  0  0
37  0      0 265232  15640 457000    0    0     0     0 18168 8529 3 97  0  0  0  0
19  0      0 243240  15640 457104    0    0     0     0 18034 8994 3 97  0  0  0  0
34  0      0 246700  15640 457120    0    0     0     0 18088 8867 4 96  0  0  0  0
40  0      0 246100  15640 457252    0    0     0     0 18231 6818 3 97  0  0  0  0
24  0      0 249492  15648 457296    0    0     0    16 18385 4649 3 97  0  0  0  0
22  0      0 242620  15648 457368    0    0     0     0 18611 4041 4 96  0  0  0  0
25  0      0 245500  15648 457404    0    0     0     0 18618 3876 3 97  0  0  0  0
29  0      0 249628  15648 457456    0    0     0     0 18843 4106 3 97  0  0  0  0
26  0      0 248708  15648 457512    0    0     0     0 18557 3949 5 95  0  0  0  0
29  0      0 247140  15656 457564    0    0     0    16 18640 3912 3 97  0  0  0  0
28  0      0 245960  15656 457624    0    0     0     0 18138 4046 4 96  0  0  0  0
28  0      0 248788  15656 457700    0    0     0     0 18464 4090 3 97  0  0  0  0
41  0      0 228508  15656 457752    0    0     0     0 18319 4344 4 96  0  0  0  0
25  0      0 232124  15656 457828    0    0     0     0 18486 4412 2 98  0  0  0  0
23  0      0 231536  15664 457856    0    0     0    16 18217 4458 4 96  0  0  0  0
28  0      0 230736  15664 457920    0    0     0     0 18660 4002 3 97  0  0  0  0
