procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
20  0      0 302476  15580 435976    0    0 52950   787 3563   48  3 32 58  6  0  0
29  0      0 304496  15580 436036    0    0     0     0 16569 6935 4 96  0  0  0  0
34  0      0 306500  15580 436116    0    0     0     0 17641 6597 4 96  0  0  0  0
29  0      0 307892  15580 436188    0    0     0     0 17383 6707 4 96  0  0  0  0
31  0      0 307504  15580 436268    0    0     0     0 17433 6742 3 97  0  0  0  0
42  0      0 300416  15588 436356    0    0     0    68 17158 7057 4 96  0  0  0  0
30  0      0 286512  15588 436424    0    0     0     0 17315 7153 4 96  0  0  0  0
24  0      0 267832  15588 436616    0    0     0     0 17510 6541 3 97  0  0  0  0
25  0      0 270632  15588 436668    0    0     0     0 17809 3975 5 95  0  0  0  0
26  0      0 272004  15588 436764    0    0     0     0 17758 3887 4 96  0  0  0  0
21  0      0 275396  15596 436816    0    0     0    24 18649 4463 4 96  0  0  0  0
16  0      0 277080  15596 436844    0    0     0     0 17985 4009 4 96  0  0  0  0
33  0      0 272164  15596 436928    0    0     0     0 18179 4233 4 96  0  0  0  0
39  0      0 274604  15596 436980    0    0     0     0 18270 4207 4 96  0  0  0  0
35  0      0 267344  15596 437040    0    0     0     0 18203 4002 3 97  0  0  0  0
40  0      0 271184  15604 437080    0    0     0    20 18406 4033 4 96  0  0  0  0
33  0      0 269776  15604 437144    0    0     0     0 17808 4297 5 95  0  0  0  0
30  0      0 270224  15604 437192    0    0     0     0 18379 4280 4 96  0  0  0  0
22  0      0 273480  15604 437212    0    0     0     0 18498 3967 3 97  0  0  0  0
38  0      0 267016  15604 437268    0    0     0     0 18003 3919 4 96  0  0  0  0
28  0      0 272040  15612 437344    0    0     0    16 18030 4141 4 96  0  0  0  0
34  0      0 275196  15612 437404    0    0     0     0 17979 4054 4 96  0  0  0  0
14  0      0 271152  15612 437420    0    0     0     0 18364 4036 4 96  0  0  0  0
20  0      0 274544  15612 437504    0    0     0     0 17966 4074 4 96  0  0  0  0
21  0      0 270960  15612 437564    0    0     0     0 18367 4085 3 97  0  0  0  0
26  0      0 273468  15620 437608    0    0     0    16 17903 4081 3 97  0  0  0  0
23  0      0 257852  15620 437684    0    0     0   216 17888 4427 4 96  0  0  0  0
27  0      0 261244  15620 437676    0    0     0  4432 18388 4568 4 96  0  0  0  0
18  0      0 262204  15620 437756    0    0     0    44 18169 4247 5 95  0  0  0  0
23  0      0 260016  15620 437780    0    0     0     0 17801 4336 4 96  0  0  0  0
35  0      0 262928  15632 437856    0    0     0    72 18092 4122 4 96  0  0  0  0
16  0      0 261360  15632 437916    0    0     0     4 18302 3971 4 96  0  0  0  0
20  0      0 263184  15632 437968    0    0     0     0 18362 4167 4 96  0  0  0  0
22  0      0 250800  15632 437992    0    0     0  1668 17994 4060 4 96  0  0  0  0
57  0      0 254032  15632 438076    0    0     0     0 18791 4252 4 96  0  0  0  0
24  0      0 259672  15640 438120    0    0     0    36 18467 4143 3 97  0  0  0  0
23  0      0 261976  15640 438180    0    0     0     0 18579 4052 4 96  0  0  0  0
41  0      0 240440  15640 438236    0    0     0     0 18462 4526 5 95  0  0  0  0
20  0      0 242648  15640 438256    0    0     0     0 17841 3873 4 96  0  0  0  0
39  0      0 245112  15640 438340    0    0     0     0 18406 3951 4 96  0  0  0  0
27  0      0 239668  15648 438384    0    0     0    16 18430 4120 4 96  0  0  0  0
24  0      0 242940  15648 438444    0    0     0     0 18459 4195 4 96  0  0  0  0
21  0      0 242076  15648 438472    0    0     0     0 18486 4079 5 95  0  0  0  0
33  0      0 246208  15648 438560    0    0     0     0 18590 4143 4 96  0  0  0  0
39  0      0 246112  15648 438612    0    0     0     0 18598 4061 4 96  0  0  0  0
34  0      0 246776  15656 438656    0    0     0    16 18407 4075 4 96  0  0  0  0
28  0      0 245816  15656 438688    0    0     0     0 18494 4015 5 95  0  0  0  0
24  0      0 239128  15656 438776    0    0     0     0 18474 4139 4 96  0  0  0  0
13  0      0 239984  15656 440940    0    0  2032     0 18359 4463 4 96  0  0  0  0
32  0      0 238564  15656 440988    0    0     0     0 18452 4281 4 96  0  0  0  0
51  0      0 230404  15664 441036    0    0     0    16 18343 4114 4 96  0  0  0  0
21  0      0 233412  15664 441100    0    0     0     0 18433 4078 4 96  0  0  0  0
31  0      0 235620  15664 441152    0    0     0     0 18729 4427 4 96  0  0  0  0
29  0      0 240004  15664 441212    0    0     0     0 18572 4315 5 95  0  0  0  0
21  0      0 233028  15664 441228    0    0     0     0 17525 3899 4 96  0  0  0  0
21  0      0 234724  15672 441312    0    0     0    16 16279 4098 5 95  0  0  0  0
30  0      0 231460  15672 441332    0    0     0     0 16677 3825 3 97  0  0  0  0
25  0      0 235620  15672 441380    0    0     0     0 16978 3907 4 96  0  0  0  0
15  0      0 238128  15672 441460    0    0     0   168 16724 4262 4 96  0  0  0  0
35  0      0 235200  15672 441476    0    0     0     0 16766 4035 4 96  0  0  0  0
30  0      0 237920  15680 441552    0    0     0    16 16211 3767 4 96  0  0  0  0
33  0      0 238484  15680 441568    0    0     0    64 16730 4158 4 96  0  0  0  0
24  0      0 234452  15680 441616    0    0     0     8 16762 3955 4 96  0  0  0  0
39  0      0 238100  15680 441700    0    0     0     0 17795 4240 4 96  0  0  0  0
37  0      0 226372  15680 441756    0    0     0  1568 17329 3972 5 95  0  0  0  0
12  0      0 229676  15688 441804    0    0     0    36 15853 3733 4 96  0  0  0  0
20  0      0 232852  15688 441820    0    0     0     0 16202 3978 4 96  0  0  0  0
20  0      0 229584  15688 441908    0    0     0     0 17591 4273 4 96  0  0  0  0
26  0      0 227760  15688 443604    0    0  1612     0 17951 4459 3 97  0  0  0  0
25  0      0 227760  15688 443632    0    0     0     0 17545 4406 4 96  0  0  0  0
22  0      0 224272  15696 443672    0    0     0    16 17146 3971 4 96  0  0  0  0
24  0      0 222876  15696 443688    0    0     0     0 17114 3980 4 96  0  0  0  0
35  0      0 231476  15696 443772    0    0     0     0 17945 4093 4 96  0  0  0  0
23  0      0 225472  15696 443788    0    0     0     0 17416 3885 4 96  0  0  0  0
15  0      0 227652  15696 443848    0    0     0     0 18011 3947 5 95  0  0  0  0
22  0      0 230608  15704 443924    0    0     0    20 16377 4181 4 96  0  0  0  0
35  0      0 228656  15704 443980    0    0     0     0 17783 4135 4 96  0  0  0  0
23  0      0 230588  15704 444032    0    0     0     0 17814 4099 5 95  0  0  0  0
33  0      0 218812  15704 444084    0    0     0     0 17482 3937 5 95  0  0  0  0
28  0      0 213940  15704 444560    0    0   392     0 18105 4407 5 95  0  0  0  0
27  0      0 222688  15712 444692    0    0   120    16 18598 4511 3 97  0  0  0  0
25  0      0 223012  15712 444752    0    0     0     0 18175 4160 4 96  0  0  0  0
23  0      0 220948  15712 444772    0    0     0     0 17471 3853 4 96  0  0  0  0
23  0      0 219156  15712 444860    0    0     0     0 17959 4277 5 95  0  0  0  0
23  0      0 220820  15712 444912    0    0     0     0 18022 3949 4 96  0  0  0  0
48  0      0 214676  15720 444952    0    0     0    16 17434 4022 4 96  0  0  0  0
34  0      0 215604  15720 444980    0    0     0     0 17934 4032 4 96  0  0  0  0
29  0      0 218324  15720 445064    0    0     0     0 17984 4059 4 96  0  0  0  0
18  0      0 219796  15720 445128    0    0     0     0 17903 4198 3 97  0  0  0  0
25  0      0 221056  15720 445180    0    0     0     0 17725 4015 5 95  0  0  0  0
28  0      0 199816  15728 445780    0    0   520    16 17254 4468 4 96  0  0  0  0
32  0      0 207760  15728 445800    0    0     0     0 17758 4158 3 97  0  0  0  0
40  0      0 200948  15728 445856    0    0     0     0 18377 3991 5 95  0  0  0  0
25  0      0 207836  15728 445872    0    0     0     4 17447 3920 5 95  0  0  0  0
15  0      0 212264  15728 445956    0    0     0  1560 18065 4042 4 96  0  0  0  0
25  0      0 209900  15736 445996    0    0     0    28 17663 4247 4 96  0  0  0  0
