procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 347184  15584 426972    0    0 46822   632 2160   36  2 19 73  6  0  0
 0  0      0 347440  15584 426992    0    0     0     0 2116  620  1  8 91  0  0  0
 0  0      0 347440  15584 426992    0    0     0     0 3351 1063  0 15 85  0  0  0
 1  0      0 347440  15584 426996    0    0     0     0 1950  471  0  7 93  0  0  0
 0  0      0 347600  15584 427000    0    0     0     0 2950 1042  1 13 86  0  0  0
 0  0      0 341904  15592 426996    0    0     0    68 2410  790  0 10 90  0  0  0
 0  0      0 341904  15592 427008    0    0     0     0 2006  783  1  7 92  0  0  0
 0  0      0 342192  15592 427008    0    0     0     0 3532 1116  0 17 83  0  0  0
 0  0      0 342192  15592 427012    0    0     0     0 1797  509  0  6 94  0  0  0
 0  0      0 342288  15592 427016    0    0     0     0 2676  837  1 12 87  0  0  0
 0  0      0 342288  15600 427012    0    0     0    24 2235  714  0  9 91  0  0  0
 0  0      0 342288  15600 427024    0    0     0     0 1714  455  0  7 92  1  0  0
 0  0      0 342352  15600 427028    0    0     0     0 2882 1196  0 11 89  0  0  0
 0  0      0 342640  15600 427028    0    0     0     0 1964  537  1  6 93  0  0  0
 0  0      0 342640  15600 427032    0    0     0     0 2711  865  0 12 88  0  0  0
 0  0      0 330960  15608 427028    0    0     0    16 2713  800  0 10 87  3  0  0
 0  0      0 330992  15608 427040    0    0     0     0 1678  563  0  6 94  0  0  0
 0  0      0 331248  15608 427044    0    0     0     0 3073 1081  1 13 86  0  0  0
 0  0      0 331248  15608 427048    0    0     0     0 1986  503  0  7 93  0  0  0
 0  0      0 331480  15608 427052    0    0     0     0 2900  802  1 11 88  0  0  0
 0  0      0 331576  15608 427056    0    0     0     0 2737  770  0 10 90  0  0  0
 0  0      0 331608  15616 427060    0    0     0    16 1797  485  0  7 91  2  0  0
 0  0      0 331992  15616 427072    0    0     0     0 3074 1087  1 12 87  0  0  0
 0  0      0 331992  15616 427072    0    0     0     0 2186  555  0  8 91  1  0  0
 0  0      0 332216  15616 427080    0    0     0     0 2619  761  0 11 89  0  0  0
 0  0      0 315960  15616 427080    0    0     0   216 2589  776  1 11 88  0  0  0
 0  0      0 316120  15624 427084    0    0     0  3780 2402  893  0  8 90  2  0  0
 0  0      0 315672  15624 427084    0    0     0    44 3771 1335  1 18 81  0  0  0
 0  0      0 315672  15624 427088    0    0     0     4 1769  637  0  8 92  0  0  0
 0  0      0 316152  15624 427092    0    0     0     0 2457  727  0 10 90  0  0  0
 1  0      0 316184  15624 427096    0    0     0     0 2806  814  1 11 88  0  0  0
 0  0      0 316408  15636 427100    0    0     0    68 2152  546  0  7 91  2  0  0
 0  0      0 315256  15636 427104    0    0     0   136 3121 1081  0 13 87  0  0  0
 0  0      0 315352  15636 427104    0    0     0     0 2197  534  1  9 90  0  0  0
 0  0      0 315448  15636 427112    0    0     0     0 2351  649  0  8 92  0  0  0
 0  0      0 305340  15636 429128    0    0  2032     0 2538  848  1 11 86  2  0  0
 4  0      0 305364  15644 429148    0    0     0    36 1978  563  0  6 94  0  0  0
 0  0      0 305428  15644 429152    0    0     0     0 3186 1052  1 13 86  0  0  0
 0  0      0 305620  15644 429156    0    0     0     0 2216  615  0 10 90  0  0  0
 0  0      0 305716  15644 429160    0    0     0     0 2004  636  0  7 93  0  0  0
 3  0      0 305716  15644 429164    0    0     0     0 3141  967  1 12 87  0  0  0
 0  0      0 305780  15652 429168    0    0     0    16 2050  482  0  6 94  0  0  0
 0  0      0 305396  15652 429172    0    0     0     0 3022 1041  0 12 87  1  0  0
 1  0      0 305396  15652 429172    0    0     0     0 1940  644  1  7 92  0  0  0
 0  0      0 305620  15652 429180    0    0     0     0 2424  675  0  9 91  0  0  0
 0  0      0 305876  15652 429180    0    0     0     0 3110  969  0 13 87  0  0  0
 0  0      0 306036  15660 429180    0    0     0    16 2116  607  0  8 90  2  0  0
 0  0      0 306036  15660 429192    0    0     0     0 2862  957  1 12 87  0  0  0
 0  0      0 306036  15660 429196    0    0     0     0 2339  674  0  8 91  1  0  0
 0  0      0 306164  15660 429200    0    0     0     0 2085  566  0  9 91  0  0  0
 4  0      0 305524  15660 429204    0    0     0     0 3374 1086  1 14 85  0  0  0
 0  0      0 305620  15668 429200    0    0     0    16 2048  504  0  7 91  2  0  0
 0  0      0 305748  15668 429212    0    0     0     0 3096  969  0 13 87  0  0  0
 0  0      0 305780  15668 429212    0    0     0     0 1952  654  0  6 94  0  0  0
 0  0      0 305884  15668 429220    0    0     0     0 1946  467  0  7 93  0  0  0
 0  0      0 304412  15668 429220    0    0     0     0 3633 1094  1 15 84  0  0  0
