procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
35  0      0 280900  15580 454492    0    0 43635   713 7052   52  3 48 45  5  0  0
52  0      0 280872  15580 454580    0    0     0     0 19236 6985 4 96  0  0  0  0
55  0      0 281592  15580 454616    0    0     0     0 18108 6431 3 97  0  0  0  0
29  0      0 278124  15580 454700    0    0     0     0 17707 6958 3 97  0  0  0  0
35  0      0 278420  15580 454724    0    0     0     0 17958 7355 3 97  0  0  0  0
22  0      0 281652  15588 454796    0    0     0    64 18350 7550 4 96  0  0  0  0
24  0      0 282108  15588 454820    0    0     0     0 17741 6561 3 97  0  0  0  0
23  0      0 274856  15588 454916    0    0     0     0 18220 6954 4 96  0  0  0  0
20  0      0 276348  15588 454940    0    0     0     0 18325 7095 3 97  0  0  0  0
15  0      0 278176  15588 455032    0    0     0     0 18980 6988 3 96  1  0  0  0
19  0      0 280160  15596 455084    0    0     0    24 18902 7206 3 96  1  0  0  0
19  0      0 282512  15596 455144    0    0     0     0 18169 7475 3 97  0  0  0  0
11  0      0 286972  15596 455164    0    0     0     0 18561 7201 3 97  0  0  0  0
26  0      0 275480  15596 455248    0    0     0     0 18589 6873 4 96  0  0  0  0
27  0      0 278648  15596 455304    0    0     0     0 18254 6469 3 97  0  0  0  0
22  0      0 278824  15604 455356    0    0     0    16 18441 7016 3 97  0  0  0  0
26  0      0 282512  15604 455420    0    0     0     0 18596 6985 3 97  0  0  0  0
17  0      0 283120  15604 455476    0    0     0     0 18406 6584 3 97  0  0  0  0
23  0      0 281948  15604 455532    0    0     0     0 18497 7170 3 97  0  0  0  0
24  0      0 278844  15604 455592    0    0     0     0 18298 7111 3 96  1  0  0  0
24  0      0 280808  15612 455632    0    0     0    16 18167 6299 4 96  0  0  0  0
17  0      0 281192  15612 455692    0    0     0     0 18493 6662 4 96  0  0  0  0
23  0      0 281244  15612 455744    0    0     0     0 18656 6987 3 97  0  0  0  0
37  0      0 282396  15612 455804    0    0     0     0 18479 6869 3 97  0  0  0  0
28  0      0 274464  15612 455892    0    0     0   208 18030 7390 4 96  0  0  0  0
19  0      0 276096  15620 455920    0    0     0  5036 18352 7654 3 97  0  0  0  0
