procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 360324  15604 417148    0    0 16468   245 1190   12  1  6 92  2  0  0
 0  0      0 353772  15604 429468    0    0 12268     0 3306  960  1 15 84  0  0  0
 1  0      0 349404  15604 429480    0    0     0     0 4897 1819  1 25 74  0  0  0
 0  0      0 348588  15604 429488    0    0     0     0 3981 1499  0 18 82  0  0  0
 0  0      0 348404  15604 429492    0    0     0     0 3961 1492  1 18 81  0  0  0
 0  0      0 348292  15612 429500    0    0     0    64 3960 1499  1 18 80  1  0  0
 2  0      0 348328  15612 429508    0    0     0     0 4257 1535  1 21 78  0  0  0
 0  0      0 347340  15612 429516    0    0     0     0 3941 1491  0 19 81  0  0  0
 0  0      0 346796  15612 429524    0    0     0     0 4353 1520  1 20 79  0  0  0
 0  0      0 344752  15612 429528    0    0     0     0 4534 1465  1 18 81  0  0  0
 0  0      0 332724  15620 429536    0    0     0   224 4134 1562  1 19 79  1  0  0
 4  0      0 332724  15620 429544    0    0     0  4016 4480 1750  1 19 79  1  0  0
 0  0      0 333108  15620 429548    0    0     0     4 4265 1674  0 20 80  0  0  0
 0  0      0 333172  15620 429556    0    0     0    44 3650 1468  1 17 82  0  0  0
 0  0      0 333396  15620 429560    0    0     0     0 3879 1553  1 17 82  0  0  0
 0  0      0 333684  15632 429556    0    0     0    64 3564 1368  0 20 78  2  0  0
 0  0      0 333716  15632 429576    0    0     0     0 4133 1506  1 21 78  0  0  0
 0  0      0 333940  15632 429584    0    0     0     0 4272 1549  0 19 81  0  0  0
 0  0      0 334260  15632 429592    0    0     0     0 3923 1442  1 18 81  0  0  0
 0  0      0 334260  15632 429596    0    0     0     0 3995 1450  1 17 82  0  0  0
 0  1      0 334400  15640 429596    0    0     0    16 4405 1536  1 20 77  2  0  0
 0  0      0 318080  15640 431652    0    0  2032     0 3720 1505  0 19 81  0  0  0
 0  0      0 318240  15640 431660    0    0     0     0 3912 1471  1 19 80  0  0  0
 2  0      0 318240  15640 431668    0    0     0   164 3868 1469  1 21 78  0  0  0
 0  0      0 318240  15640 431672    0    0     0     0 4111 1448  0 17 83  0  0  0
 0  0      0 318464  15648 431672    0    0     0    28 4692 1575  1 23 76  0  0  0
 0  0      0 319468  15648 431688    0    0     0     0 3943 1444  0 16 84  0  0  0
 0  0      0 318668  15648 431696    0    0     0     0 4082 1488  1 21 78  0  0  0
 0  0      0 318668  15648 431704    0    0     0     0 4151 1477  0 18 82  0  0  0
 0  0      0 318228  15648 431708    0    0     0     0 4434 1479  1 20 79  0  0  0
 0  0      0 318420  15656 431708    0    0     0    16 4495 1468  1 20 78  1  0  0
 0  0      0 318644  15656 431724    0    0     0     4 3897 1539  1 17 82  0  0  0
 2  0      0 318964  15656 431732    0    0     0     0 4362 1509  0 21 79  0  0  0
 3  0      0 317300  15656 431740    0    0     0     0 3876 1462  1 19 80  0  0  0
 0  0      0 317428  15656 431744    0    0     0     0 4527 1553  0 18 82  0  0  0
 0  0      0 317940  15656 431752    0    0     0     0 4312 1461  1 19 80  0  0  0
 0  0      0 318164  15664 431760    0    0     0    24 3594 1412  1 18 81  0  0  0
 0  0      0 318580  15664 431768    0    0     0     0 3857 1443  1 19 80  0  0  0
 0  0      0 318804  15664 431776    0    0     0     0 3755 1412  0 18 82  0  0  0
 0  0      0 318836  15664 431784    0    0     0     0 3637 1355  1 18 81  0  0  0
 2  0      0 318932  15664 431788    0    0     0     0 4181 1527  0 19 81  0  0  0
 0  0      0 311360  15672 433408    0    0  1612    16 4491 1651  1 20 79  0  0  0
 0  0      0 311040  15672 433416    0    0     0   220 3885 1447  0 19 81  0  0  0
 0  0      0 310336  15672 433424    0    0     0     0 3815 1436  1 16 83  0  0  0
 0  0      0 310368  15672 433432    0    0     0     0 3880 1468  1 19 80  0  0  0
 3  0      0 310560  15672 433436    0    0     0     0 3974 1426  1 18 81  0  0  0
 0  0      0 310688  15680 433444    0    0     0    16 3939 1587  0 18 81  1  0  0
 0  0      0 310784  15680 433456    0    0     0     0 4111 1475  1 19 80  0  0  0
 0  0      0 309312  15680 433468    0    0     0     0 4219 1482  1 19 80  0  0  0
 3  0      0 309504  15680 433476    0    0     0     0 4119 1495  1 18 81  0  0  0
 0  0      0 309536  15680 433480    0    0     0     0 3798 1489  1 15 84  0  0  0
 0  0      0 297592  15688 433880    0    0   392    20 4240 1610  1 21 76  2  0  0
 0  0      0 297756  15688 433888    0    0     0     0 3989 1448  0 18 82  0  0  0
 2  0      0 298460  15688 433896    0    0     0   228 4205 1530  1 19 80  0  0  0
 0  0      0 298620  15688 433904    0    0     0     0 3862 1417  0 16 84  0  0  0
 4  0      0 298428  15688 433908    0    0     0     0 4286 1473  1 20 79  0  0  0
 0  0      0 298760  15696 433916    0    0     0    28 4327 1503  0 19 79  2  0  0
 0  0      0 297380  15696 433924    0    0     0     0 3840 1452  1 17 82  0  0  0
 0  0      0 297468  15696 433932    0    0     0     0 4058 1466  0 19 81  0  0  0
 0  0      0 297532  15696 433940    0    0     0     0 4022 1401  1 19 80  0  0  0
 5  0      0 297756  15696 433944    0    0     0     0 3778 1442  1 18 81  0  0  0
 0  0      0 297800  15704 433952    0    0     0    16 4206 1608  0 19 80  1  0  0
 0  0      0 297116  15704 434600    0    0   640     8 4152 1535  1 21 78  0  0  0
 0  0      0 297192  15704 434608    0    0     0     0 3875 1393  0 18 82  0  0  0
 0  0      0 296968  15704 434616    0    0     0     0 3923 1418  1 19 80  0  0  0
 0  0      0 298200  15704 434620    0    0     0     0 4085 1487  1 18 81  0  0  0
