procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 307136  15588 461160    0    0 64900  1096 2185   48  2 22 67  8  0  0
29  0      0 283024  15588 461208    0    0     0     0 17250 5688 3 92  5  0  0  0
33  0      0 277696  15588 461312    0    0     0     0 17638 6417 4 96  0  0  0  0
26  0      0 273260  15588 461332    0    0     0     0 18252 6392 2 98  0  0  0  0
23  0      0 274096  15588 461456    0    0     0     0 18823 6121 3 97  0  0  0  0
13  0      0 272672  15596 461512    0    0     0    64 18499 6945 4 96  0  0  0  0
38  0      0 271332  15596 461576    0    0     0     0 18049 7188 3 97  0  0  0  0
34  0      0 274404  15596 461628    0    0     0     0 18214 7339 4 96  0  0  0  0
35  0      0 274160  15596 461644    0    0     0     0 18701 6526 4 96  0  0  0  0
36  0      0 267008  15596 461784    0    0     0     0 17686 5511 3 97  0  0  0  0
57  0      0 250400  15604 461900    0    0     0    24 17788 6629 4 96  0  0  0  0
22  0      0 245032  15604 462020    0    0     0     0 18328 6593 3 97  0  0  0  0
20  0      0 241288  15604 462088    0    0     0     0 18434 6912 4 96  0  0  0  0
26  0      0 244380  15604 462172    0    0     0     0 19314 4203 4 96  0  0  0  0
15  0      0 249524  15604 462228    0    0     0     0 18491 4393 3 97  0  0  0  0
27  0      0 242856  15612 462280    0    0     0    16 18694 4498 3 97  0  0  0  0
30  0      0 239948  15612 462372    0    0     0     0 19045 4603 4 96  0  0  0  0
19  0      0 243952  15612 462424    0    0     0     0 19174 4335 5 95  0  0  0  0
23  0      0 243088  15612 462476    0    0     0     0 18799 4147 3 97  0  0  0  0
24  0      0 241712  15612 462528    0    0     0     0 19270 4126 5 95  0  0  0  0
22  0      0 239636  15620 462576    0    0     0    16 19036 4033 3 97  0  0  0  0
35  0      0 241684  15620 462644    0    0     0     0 19105 4026 3 97  0  0  0  0
23  0      0 228212  15620 462664    0    0     0     0 19193 3990 4 96  0  0  0  0
20  0      0 230424  15620 462752    0    0     0     0 18771 4123 4 96  0  0  0  0
27  0      0 232900  15620 462804    0    0     0     0 19027 4191 5 95  0  0  0  0
29  0      0 236612  15628 462852    0    0     0    16 18704 4088 3 97  0  0  0  0
40  0      0 235844  15628 462916    0    0     0     0 19024 4190 4 96  0  0  0  0
40  0      0 232712  15628 463008    0    0     0  5424 19273 4458 4 96  0  0  0  0
42  0      0 223848  15628 463176    0    0     0     4 18470 6131 4 96  0  0  0  0
33  0      0 222920  15628 463248    0    0     0    44 18505 4335 3 97  0  0  0  0
32  0      0 226408  15640 463288    0    0     0    64 18322 4090 5 95  0  0  0  0
18  0      0 229704  15640 463352    0    0     0     4 18685 4118 4 96  0  0  0  0
26  0      0 231624  15640 463400    0    0     0     0 17829 3911 3 97  0  0  0  0
28  0      0 230120  15640 463452    0    0     0     0 18263 3935 4 96  0  0  0  0
28  0      0 221992  15640 463504    0    0     0  1752 18616 3848 3 97  0  0  0  0
16  0      0 225528  15648 463548    0    0     0    36 17906 4037 3 97  0  0  0  0
31  0      0 228416  15648 463608    0    0     0     0 18331 4157 3 97  0  0  0  0
17  0      0 231072  15648 463660    0    0     0     0 18450 3987 4 96  0  0  0  0
18  0      0 224384  15648 463732    0    0     0     0 18289 4585 4 96  0  0  0  0
15  0      0 219704  15648 463764    0    0     0     0 18595 4471 4 96  0  0  0  0
30  0      0 216312  15656 463812    0    0     0    16 18862 4182 4 96  0  0  0  0
32  0      0 219268  15656 463872    0    0     0     0 18591 4353 4 96  0  0  0  0
29  0      0 216324  15656 463924    0    0     0     0 18560 3977 4 96  0  0  0  0
21  0      0 215300  15656 463980    0    0     0     0 18504 4069 3 97  0  0  0  0
33  0      0 217764  15656 464032    0    0     0     0 18508 4156 4 96  0  0  0  0
40  0      0 218852  15664 464076    0    0     0    16 18492 4240 3 97  0  0  0  0
26  0      0 221612  15664 464140    0    0     0     0 18592 4294 4 96  0  0  0  0
20  0      0 218740  15664 464196    0    0     0     0 18183 3928 3 97  0  0  0  0
42  0      0 215444  15664 464244    0    0     0     0 18707 4058 4 96  0  0  0  0
22  0      0 209236  15664 464292    0    0     0     0 18521 4598 3 97  0  0  0  0
25  0      0 198452  15672 464336    0    0     0    16 18458 4013 3 97  0  0  0  0
