procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 347896  15580 430112    0    0 59704   827 1906   46  2 21 69  8  0  0
 0  0      0 344336  15580 430160    0    0     0     0 3430  865  0 15 85  0  0  0
 0  0      0 343776  15580 430164    0    0     0     0 2920 1061  1 12 87  0  0  0
 0  0      0 343776  15580 430168    0    0     0     0 1643  378  0  6 94  0  0  0
 0  0      0 343776  15580 430172    0    0     0     0 2819  977  0 12 88  0  0  0
 3  0      0 343776  15588 430168    0    0     0    64 2227  588  1  8 90  1  0  0
 0  0      0 335776  15588 430212    0    0     0     0 2221  659  0  8 92  0  0  0
 0  0      0 336032  15588 430180    0    0     0     0 3029  951  0 14 86  0  0  0
 0  0      0 336032  15588 430188    0    0     0     0 1780  657  1  6 93  0  0  0
 0  0      0 336096  15588 430184    0    0     0     0 3137  913  0 14 86  0  0  0
 0  0      0 336160  15596 430180    0    0     0    24 2213  639  0  8 90  2  0  0
 0  0      0 336352  15596 430192    0    0     0     0 2250  542  1  9 90  0  0  0
 0  0      0 336416  15596 430196    0    0     0     0 2803  940  0 12 88  0  0  0
 0  0      0 336416  15596 430200    0    0     0     0 1691  415  0  6 94  0  0  0
 0  0      0 336544  15596 430204    0    0     0     0 2966 1030  1 13 86  0  0  0
 0  0      0 336672  15604 430200    0    0     0    16 2379  683  0  9 90  1  0  0
 0  0      0 336800  15604 430212    0    0     0     0 2066  456  0  8 92  0  0  0
 1  0      0 325164  15604 430212    0    0     0     0 2862  925  0 12 88  0  0  0
 0  0      0 323852  15604 430220    0    0     0     0 2124  586  0  8 92  0  0  0
 0  0      0 324044  15604 430220    0    0     0     0 2831  881  1 10 89  0  0  0
 0  0      0 324076  15612 430216    0    0     0    16 2292  684  0 10 90  0  0  0
 0  0      0 324076  15612 430228    0    0     0     0 1943  508  0  5 95  0  0  0
 0  0      0 324492  15612 430232    0    0     0     0 3155  993  1 15 84  0  0  0
 0  0      0 324652  15612 430236    0    0     0     0 1763  454  0  6 94  0  0  0
 0  0      0 324460  15612 430240    0    0     0     0 2809  840  0 11 89  0  0  0
 0  1      0 324588  15620 430236    0    0     0    16 2902  830  1 13 86  0  0  0
 0  0      0 324556  15620 430248    0    0     0     0 1799  460  0  8 91  1  0  0
 0  0      0 311948  15620 430252    0    0     0   208 3505 1051  0 16 84  0  0  0
 4  0      0 311948  15620 430256    0    0     0  3868 2085  838  1  7 91  1  0  0
 0  0      0 312076  15620 430252    0    0     0    44 2883  965  0 12 88  0  0  0
 0  0      0 312364  15620 430256    0    0     0     0 2507  886  1 10 89  0  0  0
 0  0      0 312396  15632 430264    0    0     0    80 1699  443  0  5 95  0  0  0
 2  0      0 313036  15632 430268    0    0     0     0 3097 1059  0 15 85  0  0  0
 0  0      0 312140  15632 430272    0    0     0     0 1958  413  0  5 95  0  0  0
 0  0      0 312236  15632 430276    0    0     0   132 2654  782  0 11 89  0  0  0
 0  0      0 311916  15632 430280    0    0     0     0 2823  827  1 13 86  0  0  0
 0  0      0 311928  15640 430284    0    0     0    36 1589  388  0  4 94  2  0  0
 0  0      0 303132  15640 432304    0    0  2032     0 3096 1126  0 13 87  0  0  0
 0  0      0 303196  15640 432324    0    0     0     0 2074  559  0  8 92  0  0  0
 0  0      0 303036  15640 432328    0    0     0     0 2546  764  1 10 89  0  0  0
 0  0      0 303100  15640 432328    0    0     0     0 2617  801  0 10 90  0  0  0
 0  0      0 303100  15648 432336    0    0     0    20 1994  473  0  6 93  1  0  0
 0  0      0 303484  15648 432336    0    0     0     0 3283 1061  1 15 84  0  0  0
 0  0      0 303484  15648 432340    0    0     0     0 1954  470  0  8 92  0  0  0
 0  0      0 301372  15648 432344    0    0     0     0 2358  725  1  8 91  0  0  0
 0  0      0 301340  15648 432348    0    0     0     0 3068  871  0 13 87  0  0  0
 0  0      0 301436  15656 432352    0    0     0    16 1641  376  0  4 94  2  0  0
 0  0      0 301436  15656 432360    0    0     0     0 3339 1123  1 14 85  0  0  0
 0  0      0 301692  15656 432364    0    0     0     0 2113  619  0  8 92  0  0  0
 0  0      0 301692  15656 432368    0    0     0     0 2011  608  0  7 93  0  0  0
 0  0      0 301820  15656 432368    0    0     0     0 2989  881  0 13 87  0  0  0
