procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
30  0      0 302824  15580 437440    0    0 52800   782 3686   49  3 33 58  6  0  0
53  0      0 298708  15580 437528    0    0     0     0 16552 7208 3 97  0  0  0  0
55  0      0 297612  15580 437640    0    0     0     0 16700 6774 5 95  0  0  0  0
49  0      0 283004  15580 437668    0    0     0     0 17432 7832 3 97  0  0  0  0
40  0      0 274860  15580 437748    0    0     0     0 17458 9698 4 96  0  0  0  0
35  0      0 266872  15588 437888    0    0     0    68 16346 8869 4 96  0  0  0  0
49  0      0 267296  15588 438020    0    0     0     0 17577 8537 3 97  0  0  0  0
34  0      0 264536  15588 438120    0    0     0     0 17786 4468 5 95  0  0  0  0
31  0      0 267596  15588 438168    0    0     0     0 17829 4032 4 96  0  0  0  0
28  0      0 272560  15588 438248    0    0     0     0 18108 4071 5 95  0  0  0  0
13  0      0 275124  15596 438296    0    0     0    24 18233 4228 4 96  0  0  0  0
40  0      0 265848  15596 438364    0    0     0     0 18373 4041 4 96  0  0  0  0
13  0      0 269112  15596 438408    0    0     0     0 17897 4144 4 96  0  0  0  0
25  0      0 273112  15596 438464    0    0     0     0 18247 4287 4 96  0  0  0  0
36  0      0 275992  15596 438516    0    0     0     0 18814 4210 4 96  0  0  0  0
23  0      0 278752  15604 438560    0    0     0    16 18153 4077 4 96  0  0  0  0
19  0      0 268316  15604 438632    0    0     0     0 17738 4609 4 96  0  0  0  0
35  0      0 271100  15604 438672    0    0     0     0 17643 4204 5 95  0  0  0  0
19  0      0 271292  15604 438724    0    0     0     0 17893 4150 4 96  0  0  0  0
31  0      0 274940  15604 438744    0    0     0     0 18081 4099 4 96  0  0  0  0
20  0      0 269308  15612 438816    0    0     0    16 18563 4045 4 96  0  0  0  0
34  0      0 271804  15612 438880    0    0     0     0 18076 4301 4 96  0  0  0  0
31  0      0 272012  15612 438928    0    0     0     0 18462 4142 3 97  0  0  0  0
26  0      0 272052  15612 438980    0    0     0     0 18363 4143 3 97  0  0  0  0
21  0      0 273108  15612 439032    0    0     0     0 18252 4213 4 96  0  0  0  0
34  0      0 274580  15620 439084    0    0     0    16 18961 4431 4 96  0  0  0  0
29  0      0 259412  15620 439188    0    0     0   212 18518 4401 5 95  0  0  0  0
