procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
19  0      0 331212  15576 449072    0    0 62450  1013 2280   46  2 23 66  8  0  0
16  0      0 316724  15576 449160    0    0     0     0 17282 5496 3 93  4  0  0  0
16  0      0 315004  15576 449236    0    0     0     0 17922 6417 3 96  1  0  0  0
 7  0      0 318372  15576 449284    0    0     0     0 17982 6951 4 92  4  0  0  0
 9  0      0 314304  15576 449336    0    0     0     0 18416 7074 2 95  3  0  0  0
 7  0      0 315068  15584 449376    0    0     0    68 16608 7507 3 82 14  1  0  0
11  0      0 310804  15584 449444    0    0     0     0 18458 6924 4 95  1  0  0  0
 4  0      0 309204  15584 449496    0    0     0     0 17986 7028 3 90  7  0  0  0
22  0      0 310696  15584 449548    0    0     0     0 17524 7268 2 91  7  0  0  0
 8  0      0 310552  15584 449596    0    0     0     0 17024 7191 3 88  9  0  0  0
16  0      0 311940  15592 449636    0    0     0    24 17309 7575 2 85 13  0  0  0
 2  0      0 314352  15592 449700    0    0     0     0 17954 7182 2 92  6  0  0  0
 4  0      0 313924  15592 449748    0    0     0     0 17950 7027 3 90  7  0  0  0
 4  0      0 312748  15592 449800    0    0     0     0 17588 7050 3 90  7  0  0  0
 6  0      0 313388  15592 449852    0    0     0     0 17490 7210 3 89  8  0  0  0
19  0      0 307724  15600 449896    0    0     0    16 16904 7098 3 86 11  0  0  0
 9  0      0 309772  15600 449956    0    0     0     0 17765 6419 4 96  0  0  0  0
15  0      0 312236  15600 450012    0    0     0     0 17766 7008 3 90  7  0  0  0
16  0      0 306604  15600 450060    0    0     0     0 17327 6767 3 92  5  0  0  0
19  0      0 308572  15600 450112    0    0     0     0 17827 6805 2 93  5  0  0  0
 9  0      0 304720  15608 450152    0    0     0    16 17932 6602 3 95  2  0  0  0
24  0      0 306856  15608 450212    0    0     0     0 17357 6616 3 85 12  0  0  0
 6  0      0 309528  15608 450264    0    0     0     0 17209 6410 3 86 11  0  0  0
 9  0      0 310784  15608 450316    0    0     0     0 17051 6643 3 80 16  1  0  0
