procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 344928  15584 435492    0    0 60599   891 2040   47  3 22 67  8  0  0
 6  0      0 343172  15584 435560    0    0     0     0 8634 3144  1 40 59  0  0  0
 0  0      0 343468  15584 435580    0    0     0     0 7976 3189  1 37 62  0  0  0
 0  0      0 344044  15584 435596    0    0     0     0 7844 2916  1 37 62  0  0  0
 0  0      0 342124  15584 435616    0    0     0     0 7897 2935  2 36 62  0  0  0
 6  0      0 342508  15592 435624    0    0     0    64 7697 2897  1 38 59  2  0  0
 0  0      0 338956  15592 435652    0    0     0     0 7921 3123  1 37 62  0  0  0
 0  0      0 339344  15592 435668    0    0     0     0 8290 3078  1 38 61  0  0  0
 0  0      0 339752  15592 435688    0    0     0     0 7587 3136  2 35 63  0  0  0
 0  0      0 340088  15592 435700    0    0     0     0 7860 2904  1 35 64  0  0  0
 0  0      0 340600  15600 435712    0    0     0    24 7559 3032  1 35 64  0  0  0
 0  0      0 339076  15600 435736    0    0     0     0 7344 2980  2 35 63  0  0  0
 2  0      0 334660  15600 435756    0    0     0     0 7876 3010  1 37 62  0  0  0
 0  0      0 335172  15600 435780    0    0     0     0 7405 2970  1 33 66  0  0  0
 0  0      0 335812  15600 435800    0    0     0     0 8254 3190  1 36 63  0  0  0
 4  0      0 336772  15608 435812    0    0     0    16 8343 3227  2 38 57  3  0  0
 0  0      0 337188  15608 435836    0    0     0     0 7861 3004  1 37 62  0  0  0
 0  0      0 334384  15608 435856    0    0     0     0 8827 3178  1 40 59  0  0  0
 0  0      0 335576  15608 435872    0    0     0     0 7852 3063  2 40 58  0  0  0
 0  0      0 335896  15608 435892    0    0     0     0 7521 2918  1 35 64  0  0  0
 0  0      0 336416  15616 435900    0    0     0    16 7665 3070  1 31 68  0  0  0
 0  0      0 336288  15616 435924    0    0     0     0 7911 3083  2 33 65  0  0  0
 0  0      0 335136  15616 435944    0    0     0     0 7834 3060  1 34 65  0  0  0
 0  0      0 335488  15616 435964    0    0     0     0 7519 3018  1 33 66  0  0  0
 0  0      0 335744  15616 435980    0    0     0     0 7285 2969  2 34 64  0  0  0
 0  0      0 335744  15624 435992    0    0     0    16 7501 3008  1 33 65  1  0  0
 0  0      0 332900  15624 436020    0    0     0     0 7679 2991  1 35 64  0  0  0
 0  0      0 321584  15624 436072    0    0     0   208 8183 3137  2 36 62  0  0  0
 0  0      0 321840  15624 436056    0    0     0  4228 8179 3402  1 35 63  1  0  0
 0  0      0 323088  15624 436072    0    0     0    44 7184 3005  1 33 66  0  0  0
 8  0      0 323504  15636 436076    0    0     0    64 7659 3057  2 35 63  0  0  0
 4  0      0 321840  15636 436108    0    0     0     4 7576 3050  1 37 62  0  0  0
 0  0      0 322608  15636 436124    0    0     0     0 8000 3076  1 36 63  0  0  0
 1  0      0 323068  15636 436144    0    0     0     0 7793 3010  1 33 66  0  0  0
 6  0      0 322064  15636 436160    0    0     0   620 8677 3091  1 39 60  0  0  0
 0  0      0 322320  15644 436172    0    0     0    36 7702 2927  2 33 64  1  0  0
 1  0      0 322928  15644 436204    0    0     0     0 8159 3077  1 36 63  0  0  0
 3  0      0 307348  15644 436224    0    0     0     0 8023 3100  1 37 62  0  0  0
 0  0      0 307580  15644 436240    0    0     0     0 7589 2995  1 33 66  0  0  0
 0  0      0 306428  15644 436260    0    0     0     0 7927 3071  1 35 64  0  0  0
 0  0      0 303684  15652 436268    0    0     0    16 7333 2978  2 40 56  2  0  0
 0  0      0 304068  15652 436296    0    0     0     0 7604 2996  1 35 64  0  0  0
 0  0      0 304388  15652 436312    0    0     0     0 7082 2939  1 34 65  0  0  0
 0  0      0 304516  15652 436332    0    0     0     0 7715 2985  1 37 62  0  0  0
 4  0      0 304388  15652 436348    0    0     0     0 8247 3081  1 39 60  0  0  0
 4  0      0 304420  15660 436360    0    0     0    16 7874 3067  2 34 64  0  0  0
 4  0      0 303780  15660 436384    0    0     0     0 8373 3048  1 39 60  0  0  0
 3  0      0 295940  15660 438424    0    0  2032     0 7761 3061  1 37 62  0  0  0
 0  0      0 296832  15660 438456    0    0     0     0 8188 3167  1 37 62  0  0  0
 1  0      0 297504  15660 438480    0    0     0     0 7919 3055  1 38 61  0  0  0
 0  0      0 297824  15668 438488    0    0     0    16 7987 2984  2 34 62  2  0  0
 0  0      0 298028  15668 438516    0    0     0     0 7792 2996  1 36 63  0  0  0
 0  0      0 296780  15668 438536    0    0     0     0 7841 3125  2 37 61  0  0  0
 0  0      0 297100  15668 438552    0    0     0     0 8251 3086  1 35 64  0  0  0
 0  0      0 297836  15668 438572    0    0     0     0 7812 2934  1 36 63  0  0  0
 3  0      0 297004  15676 438580    0    0     0    20 8113 3100  0 39 61  0  0  0
 0  0      0 297676  15676 438608    0    0     0     0 8361 3038  1 38 61  0  0  0
 4  0      0 298136  15676 438624    0    0     0     0 8505 3068  1 40 59  0  0  0
 1  1      0 298424  15676 438644    0    0     0    40 7382 3097  1 37 61  1  0  0
 0  0      0 298424  15676 438660    0    0     0   128 7321 2962  2 35 63  0  0  0
 0  0      0 299852  15684 438672    0    0     0    16 8157 3092  0 37 62  1  0  0
 0  0      0 299616  15684 438700    0    0     0    56 8079 3060  1 37 62  0  0  0
