procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 332724  15328 451200    0    0 63098  1032 2158   47  2 23 67  8  0  0
28  0      0 310304  15576 451732    0    0   160     0 17492 5424 2 93  5  0  0  0
18  0      0 309844  15576 451816    0    0     0     0 18436 5979 3 97  0  0  0  0
19  0      0 313780  15576 451868    0    0     0     0 17964 6146 4 96  0  0  0  0
15  0      0 316564  15576 451924    0    0     0     0 19121 6321 3 96  1  0  0  0
10  0      0 317332  15584 451964    0    0     0    64 19046 6148 3 96  1  0  0  0
25  0      0 306208  15584 452036    0    0     0     0 18523 6241 3 97  0  0  0  0
15  0      0 311212  15584 452088    0    0     0     0 18542 6395 3 97  0  0  0  0
14  0      0 301172  15584 452140    0    0     0     0 18391 6621 3 95  2  0  0  0
14  0      0 305664  15584 452188    0    0     0     0 18267 6099 3 96  1  0  0  0
21  0      0 309088  15592 452232    0    0     0    24 18426 6408 3 95  2  0  0  0
24  0      0 305024  15592 452296    0    0     0     0 18212 6330 4 96  0  0  0  0
21  0      0 306688  15592 452348    0    0     0     0 18988 6211 3 97  0  0  0  0
18  0      0 310792  15592 452400    0    0     0     0 18421 6175 3 95  2  0  0  0
30  0      0 310932  15592 452452    0    0     0     0 18433 6329 3 94  3  0  0  0
12  0      0 309900  15600 452500    0    0     0    16 18735 6208 3 97  0  0  0  0
14  0      0 312856  15600 452564    0    0     0     0 17939 6493 3 93  4  0  0  0
23  0      0 309500  15600 452620    0    0     0     0 18649 6194 2 98  0  0  0  0
 6  0      0 303016  15600 452668    0    0     0     0 18198 6287 3 97  0  0  0  0
 9  0      0 305652  15600 452720    0    0     0     0 18112 5850 3 92  5  0  0  0
21  0      0 306932  15608 452768    0    0     0    16 18441 5785 3 96  1  0  0  0
 7  0      0 307476  15608 452820    0    0     0     0 18059 6113 3 97  0  0  0  0
 7  0      0 311464  15608 452884    0    0     0     0 18186 6279 3 97  0  0  0  0
